Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1125,1226,992,1278,1246,1313,1098,1317,1291,1387,1253,1420
Expenses,892,999,828,1034,965,1011,863,1022,1011,1069,992,1131
Operating Profit,234,226,164,243,281,303,235,295,280,318,261,289
OPM %,21,18,17,19,23,23,21,22,22,23,21,20
Other Income,2,9,14,13,15,14,20,15,19,-23,17,11
Interest,11,10,10,12,11,12,12,13,13,13,12,12
Depreciation,25,23,23,22,23,30,25,27,25,27,28,29
Profit before tax,199,202,145,222,262,275,219,270,261,256,238,259
Tax %,25,25,25,26,26,26,25,26,25,26,25,25
Net Profit,150,152,108,165,195,205,164,201,195,190,179,193
EPS in Rs,134.73,136.59,97.01,148.13,175.06,183.49,147.04,180.03,174.61,169.93,160.24,172.86
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2551,2852,2946,2833,3886,4714,4569,4935,5247,5351,,
Expenses,2010,2234,2412,2305,3099,3851,3709,3872,4094,4204,,
Operating Profit,542,618,533,528,787,863,860,1063,1153,1147,,
OPM %,21,22,18,19,20,18,19,22,22,21,,
Other Income,21,36,25,19,21,15,32,62,29,25,,
Interest,18,17,34,30,34,41,45,46,50,50,,
Depreciation,28,31,61,63,65,78,91,99,107,109,,
Profit before tax,518,606,462,453,709,758,756,979,1025,1014,,
Tax %,33,35,26,25,24,25,25,25,26,—,,
Net Profit,347,394,343,341,537,571,569,729,764,756,,
EPS in Rs,311.08,353.19,307.71,305.35,481.02,512.15,510.31,653.71,684.8,677.64,,
Dividend Payout %,42,97,52,82,77,49,72,138,80,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,11,11,11,11,11,11,11,11,11,11,,
Reserves,655,836,764,809,874,1077,1360,1586,1396,1491,,
Borrowings,88,69,85,176,127,110,406,185,262,277,,
Other Liabilities,401,497,491,517,688,908,915,901,974,1077,,
Total Liabilities,1154,1412,1351,1513,1700,2107,2693,2683,2643,2856,,
Fixed Assets,236,238,301,406,386,402,485,488,758,871,,
CWIP,24,59,7,29,28,65,150,239,72,1,,
Investments,52,218,0,0,0,0,0,0,0,0,,
Other Assets,842,898,1043,1079,1286,1639,2057,1956,1813,1984,,
Total Assets,1154,1412,1351,1513,1700,2107,2693,2683,2643,2856,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,274,453,230,517,696,327,-2,1080,1204,794,,
Cash from Investing Activity,-108,-238,192,-27,-401,119,36,-370,12,-21,,
Cash from Financing Activity,-154,-188,-443,-378,-366,-396,-179,-621,-1010,-744,,
Net Cash Flow,12,27,-22,113,-71,49,-145,89,205,29,,
Free Cash Flow,212,396,192,442,682,229,-165,986,1125,687,,
CFO/OP,100,114,70,121,156,64,22,147,136,92,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,19,21,16,9,18,16,11,13,14,14,,
Inventory Days,264,191,229,200,160,208,279,205,147,178,,
Days Payable,47,46,37,26,72,77,50,32,44,55,,
Cash Conversion Cycle,236,166,207,183,106,146,240,185,118,138,,
Working Capital Days,57,37,55,42,10,33,59,49,19,26,,
ROCE %,60,64,69,53,48,67,54,45,59,64,,
