Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3683,2595,2243,2377,4619,4990,4194,4504,6872,5749,4702,6124
Expenses,3427,2313,2095,2231,4112,4551,3811,3923,6216,5276,4260,5404
Operating Profit,256,282,148,146,507,438,383,580,657,472,442,720
OPM %,7,11,7,6,11,9,9,13,10,8,9,12
Other Income,11,9,31,19,20,42,60,34,42,-10,42,43
Interest,96,82,95,91,105,103,119,104,140,127,156,132
Depreciation,51,55,58,61,86,88,86,86,90,102,126,106
Profit before tax,120,154,26,13,337,289,238,424,469,233,202,526
Tax %,26,29,18,59,24,28,28,25,27,22,23,25
Net Profit,89,109,22,5,255,209,172,317,342,182,156,393
EPS in Rs,1.1,1.34,0.26,0.07,3.13,2.57,2.11,3.88,4.19,1.75,1.5,3.78
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,4358,4193,5165,7859,13341,11575,16959,21826,23447,,,
Expenses,3906,3726,4616,7175,12525,10903,15384,19618,21155,,,
Operating Profit,452,467,549,684,816,672,1574,2208,2292,,,
OPM %,10,11,11,9,6,6,9,10,10,,,
Other Income,29,27,12,27,76,45,124,51,116,,,
Interest,159,192,111,86,291,366,443,528,555,,,
Depreciation,70,72,83,90,175,211,344,403,423,,,
Profit before tax,251,230,366,535,426,141,911,1328,1430,,,
Tax %,37,16,39,26,29,29,27,25,—,,,
Net Profit,159,193,223,398,304,100,662,996,1072,,,
EPS in Rs,276.24,335.77,387.99,6.92,3.73,1.23,8.12,9.6,11.22,,,
Dividend Payout %,36,0,0,0,13,41,12,16,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,575,575,575,575,814,815,815,1038,,,,
Reserves,907,1028,1252,1650,2690,2750,5060,5745,,,,
Borrowings,3123,2298,1251,2954,4648,4014,5100,6906,,,,
Other Liabilities,1022,1109,1344,2749,2504,2083,3294,4247,,,,
Total Liabilities,5628,5010,4423,7928,10657,9661,14268,17936,,,,
Fixed Assets,1024,1214,1226,1261,2872,3431,5194,6026,,,,
CWIP,255,149,220,336,697,372,584,424,,,,
Investments,0,3,125,553,3,3,272,25,,,,
Other Assets,4349,3644,2852,5778,7085,5855,8218,11461,,,,
Total Assets,5628,5010,4423,7928,10657,9661,14268,17936,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,-920,1270,1501,-44,-2377,1437,1648,-1012,,,,
Cash from Investing Activity,-103,-143,-289,-1099,-419,-367,-415,-557,,,,
Cash from Financing Activity,1018,-1141,-1124,1589,2301,-1022,-389,998,,,,
Net Cash Flow,-5,-15,87,446,-495,48,844,-571,,,,
Free Cash Flow,-1047,1131,1332,-664,-2812,1026,1191,-1878,,,,
CFO/OP,-196,278,288,6,-274,222,117,-33,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,196,187,82,42,101,86,66,80,,,,
Inventory Days,166,134,85,133,77,74,78,105,,,,
Days Payable,83,100,89,132,66,60,71,70,,,,
Cash Conversion Cycle,280,221,78,43,112,100,74,115,,,,
Working Capital Days,35,33,25,-50,14,13,-3,18,,,,
ROCE %,—,10,14,15,11,7,15,15,,,,
