Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2412,2498,2591,2737,2897,3062,3242,3334,3581,3778,4056,4303
Expenses,2007,2056,2136,2282,2416,2524,2658,2722,2898,3045,3288,3606
Operating Profit,405,442,454,455,481,538,584,612,683,733,768,697
OPM %,17,18,18,17,17,18,18,18,19,19,19,16
Other Income,37,38,31,31,47,43,18,55,52,-49,33,71
Interest,12,12,10,14,18,16,18,17,18,19,19,29
Depreciation,74,79,80,71,74,82,79,94,100,101,109,115
Profit before tax,356,389,395,401,435,482,505,555,617,565,674,623
Tax %,26,26,20,24,25,23,22,23,24,22,21,22
Net Profit,263,286,315,306,325,373,396,425,471,439,529,483
EPS in Rs,17.11,18.59,20.47,19.89,21.02,24.12,25.59,27.17,30.15,27.86,33.55,30.62
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3034,3366,3566,4188,5711,8351,9822,11939,14748,15718,,
Expenses,2565,2810,3073,3505,4753,6831,8146,9881,11953,12837,,
Operating Profit,469,556,493,683,958,1519,1676,2058,2796,2881,,
OPM %,15,17,14,16,17,18,17,17,19,18,,
Other Income,119,88,132,108,144,41,128,138,91,107,,
Interest,0,0,6,6,12,47,47,67,73,85,,
Depreciation,158,157,166,176,166,272,309,307,403,424,,
Profit before tax,429,486,452,609,924,1241,1448,1822,2411,2479,,
Tax %,25,28,25,26,25,26,24,23,23,—,,
Net Profit,323,352,340,451,690,921,1093,1400,1865,1923,,
EPS in Rs,20.19,21.98,22.26,29.48,45.15,60.24,70.98,90.54,118.23,122.18,,
Dividend Payout %,25,25,27,34,34,41,37,39,34,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,80,80,79,76,76,76,76,77,78,79,,
Reserves,1819,2047,2266,2309,2719,3292,3889,4881,6241,7759,,
Borrowings,3,2,2,71,98,578,655,451,311,477,,
Other Liabilities,433,514,509,635,771,1473,1999,1997,2092,3029,,
Total Liabilities,2335,2644,2856,3092,3666,5419,6619,7405,8722,11344,,
Fixed Assets,536,512,401,432,457,1534,2341,2221,2541,2856,,
CWIP,29,5,32,30,12,107,16,34,77,38,,
Investments,684,880,764,979,1000,822,640,827,980,1615,,
Other Assets,1086,1247,1659,1652,2197,2956,3622,4324,5123,6836,,
Total Assets,2335,2644,2856,3092,3666,5419,6619,7405,8722,11344,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,286,421,432,352,736,845,956,1302,1157,1767,,
Cash from Investing Activity,-222,-337,-233,-6,-540,-971,-383,-525,-517,-618,,
Cash from Financing Activity,-58,-96,-160,-329,-144,182,-404,-582,-628,-748,,
Net Cash Flow,6,-12,39,16,52,56,169,196,12,401,,
Free Cash Flow,70,356,395,277,611,464,524,947,964,1572,,
CFO/OP,84,116,103,98,131,113,85,98,81,86,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,60,58,53,61,50,61,69,62,82,83,,
Cash Conversion Cycle,60,58,53,61,50,61,69,62,82,83,,
Working Capital Days,49,53,43,37,25,4,20,24,47,50,,
ROCE %,23,20,20,18,21,26,30,29,31,34,,
