Item,Indicator,Value,Signal
,SMA (10),349.64,Buy
,EMA (10),353.61,Sell
,SMA (20),357.47,Sell
,EMA (20),360.79,Sell
,SMA (50),387.99,Sell
,EMA (50),381.8,Sell
,SMA (100),413.44,Sell
,EMA (100),396.63,Sell
,SMA (200),400.9,Sell
,EMA (200),402.5,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),38.04,Neutral
,"MACD (12,26,9)",-11.12,Buy
,"Stochastic (14,3,3)",49.47,Neutral
,ADX (14),41.02,Buy
,Williams %R (14),-47.79,Neutral
,ATR (14),7.8,Neutral
,ROC (12),-2.93,Sell
,Stoch RSI (14),97.8,Sell
,"UO (7,14,28)",52.53,Neutral
