Item,Date,Document
,2026-09-09,[Intimation Regarding Dispatch Of Physical Letter(S) To The Members Whose Email Address(Es) Are Not Registered.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7aaebae8-91c2-48f6-92f1-2064dd38e942.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f984b54b-72bf-4a7c-9678-247a2fcef73c.pdf)
,2026-09-07,[Notice Of The 29Th Annual General Meeting And Annual Report For The Financial Year 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e83d304e-96c6-4300-b051-29c904392119.pdf)
,2026-09-07,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d244089-f442-4686-b713-03847588ed3b.pdf)
,2026-09-07,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46a1cf69-8978-41d8-9f18-d35d2ee3ca89.pdf)
,2026-09-07,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d30dce98-f0c0-4502-929f-6b3fd724d28f.pdf)
,2026-09-04,[Board Meeting Outcome for Outcome Of The Meeting Of The Board Of Directors Of Prime Focus Limited (The Company) Held On September 04 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53d84623-8907-41b0-8987-84939a19864d.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ae7d903-fdb9-4de2-abc2-f49987f21df2.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Raising of Funds](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3bcddbaa-3cd1-4a64-9920-d26b0d3ab2b9.pdf)
,2026-09-03,[Announcement Under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc0291d7-cade-4062-8ff3-4b5ccdbefe5b.pdf)
,Date,Document
,---,---
,2026-08-06,[Outcome Of The Meeting Of The Board Of Directors Of Prime Focus Limited Held On August 06 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73347ff0-fc2b-4b5e-b708-9eedb85e7ab3.pdf)
