Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1026,841,873,813,897,909,979,1023,1061,1207,1384,1267
Expenses,1033,815,832,739,686,641,747,779,765,813,896,966
Operating Profit,-7,26,42,75,211,268,232,244,296,394,488,301
OPM %,-0.7,3.1,4.8,9,24,29,24,24,28,33,35,24
Other Income,12,105,81,30,131,-84,-231,167,-31,-12,-41,-28
Interest,160,117,125,127,128,150,133,114,120,133,148,126
Depreciation,128,132,113,112,139,128,126,133,139,167,218,179
Profit before tax,-284,-118,-116,-135,75,-94,-257,164,6,83,82,-33
Tax %,-10,-33,-31,17,33,6,-2,33,30,16,-44,40
Net Profit,-257,-79,-80,-158,50,-99,-252,110,4,69,118,-46
EPS in Rs,-7.37,-1.85,-2.01,-3.98,1.11,-2.01,-7.7,2,0.05,0.91,1.06,-0.53
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2257,2539,2928,2536,3386,4644,3951,3599,4676,4919,,
Expenses,1840,2180,2524,1947,2589,3670,3697,2812,3252,3439,,
Operating Profit,416,359,404,590,797,975,253,787,1424,1480,,
OPM %,18,14,14,23,24,21,6,22,30,30,,
Other Income,34,123,13,45,-89,219,216,-154,82,-112,,
Interest,212,237,231,251,373,421,558,538,515,527,,
Depreciation,277,304,381,422,417,527,498,505,658,703,,
Profit before tax,-39,-58,-196,-39,-82,246,-587,-411,334,137,,
Tax %,15,-44,-21,46,111,45,-17,12,10,—,,
Net Profit,-44,-33,-154,-56,-174,194,-488,-458,301,145,,
EPS in Rs,-1.78,-0.76,-4.39,-1.45,-5.73,4.92,-13.49,-12.57,2.82,1.49,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,30,30,30,30,30,30,30,30,30,78,,
Reserves,510,546,498,362,237,84,-5,486,729,2011,,
Borrowings,1339,1637,2419,3371,3904,4102,4892,4859,4879,5717,,
Other Liabilities,1422,1226,899,1205,1159,1422,1826,1744,2838,2818,,
Total Liabilities,3301,3439,3846,4969,5329,5638,6743,7120,8476,10623,,
Fixed Assets,2247,2264,2445,2926,2973,2895,3067,2990,3984,4377,,
CWIP,20,55,63,47,30,28,152,260,194,164,,
Investments,4,4,4,4,0,0,131,153,158,236,,
Other Assets,1030,1116,1334,1992,2327,2715,3393,3718,4140,5846,,
Total Assets,3301,3439,3846,4969,5329,5638,6743,7120,8476,10623,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,291,201,120,522,328,183,254,-32,299,1024,,
Cash from Investing Activity,-89,-374,-269,-154,-104,-80,-490,-317,-356,-593,,
Cash from Financing Activity,-187,147,159,-201,-114,-232,152,335,133,43,,
Net Cash Flow,15,-27,10,166,111,-129,-84,-15,76,474,,
Free Cash Flow,67,-102,-118,371,231,99,-103,-337,-64,495,,
CFO/OP,73,52,48,144,61,22,33,3,40,73,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,46,56,59,72,32,49,49,37,42,36,,
Cash Conversion Cycle,46,56,59,72,32,49,49,37,42,36,,
Working Capital Days,-83,-97,-78,-141,-268,-195,31,45,-207,-242,,
ROCE %,8,8,7,3,6,11,16,-2,8,11,,
