Item,Indicator,Value,Signal
,SMA (10),301.84,Buy
,EMA (10),305.61,Buy
,SMA (20),296.65,Buy
,EMA (20),299,Buy
,SMA (50),285.63,Buy
,EMA (50),286.56,Buy
,SMA (100),270.99,Buy
,EMA (100),276,Buy
,SMA (200),262.05,Buy
,EMA (200),253.43,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),60.03,Neutral
,"MACD (12,26,9)",8.13,Buy
,"Stochastic (14,3,3)",76.09,Neutral
,ADX (14),27.47,Buy
,Williams %R (14),-29.64,Neutral
,ATR (14),13.01,High Volatility
,ROC (12),2.74,Buy
,Stoch RSI (14),76.46,Neutral
,"UO (7,14,28)",53.07,Neutral
