Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,460,532,1077,1321,671,968,1910,1504,655,1412,1717,2034
Expenses,423,490,960,1190,615,883,1698,1383,625,1295,1598,1886
Operating Profit,38,42,116,131,56,85,212,121,30,117,119,148
OPM %,8,8,11,10,8,9,11,8,4.6,8,7,7
Other Income,3,5,3,4,4,7,20,18,15,9,13,8
Interest,12,10,16,18,15,22,33,34,17,25,26,35
Depreciation,11,11,14,15,15,16,19,21,22,22,24,27
Profit before tax,18,26,91,101,30,54,180,85,6,79,82,94
Tax %,30,26,21,16,35,25,19,21,62,24,22,20
Net Profit,12,19,70,84,19,40,145,67,3,62,65,76
EPS in Rs,0.48,0.74,2.67,3.21,0.74,1.4,5.13,2.36,0.1,2.17,2.27,2.67
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,424,222,303,703,1098,2160,2746,4870,5288,5818,,
Expenses,396,219,298,653,1023,1983,2484,4385,4901,5404,,
Operating Profit,28,3,5,50,75,177,262,484,387,414,,
OPM %,7,1.2,1.6,7,7,8,10,10,7,7,,
Other Income,3,4,7,2,19,4,12,35,54,45,,
Interest,6,11,11,18,22,48,52,89,102,103,,
Depreciation,2,5,9,18,22,35,47,66,88,94,,
Profit before tax,23,-9,-9,15,49,98,176,365,252,262,,
Tax %,23,0,-43,23,24,21,22,20,23,—,,
Net Profit,18,-9,-5,12,37,77,135,288,197,206,,
EPS in Rs,—,-0.53,-0.3,0.59,1.76,3.41,5.18,10.17,6.89,7.21,,
Dividend Payout %,0,0,0,0,0,0,4,2,4,—,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,11,16,16,20,21,23,26,28,29,,,
Reserves,35,131,126,173,291,373,1012,2800,3020,,,
Borrowings,68,78,80,185,399,577,435,384,597,,,
Other Liabilities,46,62,65,203,358,536,837,1910,2303,,,
Total Liabilities,160,288,288,580,1069,1509,2310,5123,5948,,,
Fixed Assets,62,122,123,273,441,578,783,1136,1540,,,
CWIP,17,21,22,6,5,2,65,76,312,,,
Investments,0,30,26,0,1,2,6,8,11,,,
Other Assets,80,115,117,301,623,927,1456,3902,4084,,,
Total Assets,160,288,288,580,1069,1509,2310,5123,5948,,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,23,-23,—,57,-79,46,188,-77,70,,,
Cash from Investing Activity,-50,-97,—,-44,-161,-173,-401,-1201,-201,,,
Cash from Financing Activity,22,126,—,-17,257,112,234,1329,82,,,
Net Cash Flow,-5,6,—,-4,16,-15,22,51,-50,,,
Free Cash Flow,-27,-91,—,15,-231,-108,-37,-564,-713,,,
CFO/OP,99,-813,—,113,-103,31,83,-2,37,,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,28,29,43,76,71,74,74,73,82,,,
Inventory Days,16,45,39,61,118,73,90,122,134,,,
Days Payable,33,67,63,101,111,81,107,127,147,,,
Cash Conversion Cycle,12,7,18,37,78,67,57,68,69,,,
Working Capital Days,-15,-60,34,-10,7,9,35,60,56,,,
ROCE %,—,1,1,—,13,17,19,19,10,,,
