Item,Indicator,Value,Signal
,SMA (10),1907,Sell
,EMA (10),1903.31,Sell
,SMA (20),1915.93,Sell
,EMA (20),1913.77,Sell
,SMA (50),1970.24,Sell
,EMA (50),1921.29,Sell
,SMA (100),1889.68,Buy
,EMA (100),1886.01,Buy
,SMA (200),1807.82,Buy
,EMA (200),1817.35,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),43.19,Neutral
,"MACD (12,26,9)",-13.3,Sell
,"Stochastic (14,3,3)",28.97,Neutral
,ADX (14),12.81,Neutral
,Williams %R (14),-55.52,Neutral
,ATR (14),44.03,Neutral
,ROC (12),-1.77,Sell
,Stoch RSI (14),12.34,Buy
,"UO (7,14,28)",46.15,Neutral
