Item,Date,Document
,2026-09-09,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a0acb283-b523-4a48-a3bf-b1c3ceef514b.pdf)
,2026-09-03,[Intimation Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015 (SEBI Listing Regulations)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc5c0fed-4556-43d3-8544-3f7d3c350830.pdf)
,2026-09-01,[Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=975fe0d3-c7b1-4e9f-b25e-af70134ae34f.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d56500e-f4d2-48d0-857d-8ccd30657cd3.pdf)
,2026-08-25,[Intimation Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=affb2863-07b7-4930-8224-b0ad9e95e5a9.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bccb4077-31a4-4d33-aa00-2e89439b106c.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=17186603-15d0-4886-bcaa-1a4334fb4aa0.pdf)
,2026-08-20,[Minutes Of Annual General Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e360edea-96ec-4b8e-b76c-b9ed935fb564.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7093d4f2-441c-4b66-b7be-6f3f2cf07eb7.pdf)
,2026-08-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4197eeba-da4a-4d0b-b935-3dd10459e2b6.pdf)
,Date,Document
,---,---
,2026-08-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d811437-b5ad-4bff-8b33-92b5b7032db3.pdf)
,2026-05-15,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=badde5e7-23d3-4f3f-8c8f-4075465709a8.pdf)
,2026-02-11,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ecbc316a-5f8d-4143-8061-df7980b55a66.pdf)
,2025-08-14,[Earnigs](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3aab5632-3aec-4667-99eb-ecf9be3c2ca7.pdf)
,2025-05-16,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=654252c5-fb4c-4abe-91d6-e40111e87bac.pdf)
,2025-01-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5561306-722e-49ea-be18-dd1e1d19d216.pdf)
,2024-10-30,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2e7678d9-330f-49ed-b194-fb73a391f59c.pdf)
,2024-08-14,[Transcript Of Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=658f6ac3-13f2-479f-9490-36b93c5ea5b4.pdf)
,2023-08-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72dcc6c9-3fc1-42c7-8c60-5cd89214034d.pdf)
,Date,Document
,---,---
,2026-08-04,[Unaudited Financial Results (Standalone And Consolidated) For The Quarter Ended 30Th June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d49dd82-2d34-4d17-a51f-ab1c267ec9a3.pdf)
,2026-05-07,[Audited Financial Results (Standalone And Consolidated) For The Year Ended 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d0e9015-0a0d-49b5-9f96-1c752145fb66.pdf)
,2025-10-30,[Unaudited Financial Results Qe 30.09.2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b862c4f4-b95d-4a41-8bb6-645d20031352.pdf)
,2025-08-06,[Unaudited Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b14a8225-fc68-463b-aabf-a8383cbce058.pdf)
,2025-05-08,[Outcome Of Board Meeting Audited Financial Results (Standalone And Consolidated) For The Year Ended 31St March 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=558df95e-ac9f-41cc-b61a-e457b9b1b6b8.pdf)
,2024-10-23,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5be9b0ad-8749-4550-8cd4-b158c9ed43ae.pdf)
,2024-08-07,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e94718da-d707-49b4-b210-ec2eb0126069.pdf)
,2024-05-07,[Audited Financial Results For The Year Ended March 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6da80b0a-601f-4eb3-aca8-af0f95d01556.pdf)
,2023-11-08,"[Unaudited Financial Results (Standalone And Consolidated) For The Quarter And Six Months Ended 30Th September, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13727b18-2ab7-470d-bae3-0a486ff7fec2.pdf)"
,2023-08-10,"[Unaudited Financial Results (Standalone And Consolidated) For The Quarter Ended 30Th June, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8e77f77-a38f-4d8f-b94a-cde3029cb46b.pdf)"
,Date,Document
,---,---
,2026-08-04,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7024c4c4-9d9b-4cf9-94df-e043923354fe.pdf)
,2026-05-22,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=194037ca-889b-4bc9-bb50-56b37b83fb97.pdf)
,2026-05-07,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=161a9083-0519-49e6-9cae-98cbcba34cf6.pdf)
,2026-02-06,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8386838a-b04d-4ed9-8013-7af5daeabc3b.pdf)
,2026-02-03,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35de6891-3a4e-4cab-8691-b0a52d9759fe.pdf)
,2025-10-30,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8ad9b681-9626-4d74-bf4f-f150a076c7c2.pdf)
,2025-08-06,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55cd0005-4136-4de6-b88d-c2dd9562482d.pdf)
,2025-05-08,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95c67bdc-832f-4594-ac39-84427f8760d2.pdf)
,2025-03-17,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=598a1889-5897-4387-9d23-5e68d13cc1ef.pdf)
,2025-02-07,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=88f57de3-8f93-4148-9a40-f77287893a5c.pdf)
,Date,Document
,---,---
,"9 Mar - GST penalty orders: Rs.26,40,843 (FY2019-20) and Rs.15,90,724 (FY2020-21); company to appeal.","[Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015 9 Mar - GST penalty orders: Rs.26,40,843 (FY2019-20) and Rs.15,90,724 (FY2020-21); company to appeal.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/29babd04-486d-4484-85cc-2c0a1ead2212.pdf)"
,"9 Apr - Certificate under Regulation 74(5) of SEBI (DP) Regulations, 2018 for the quarter ended 31.03.2026","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 9 Apr - Certificate under Regulation 74(5) of SEBI (DP) Regulations, 2018 for the quarter ended 31.03.2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/d8b0d5ca-0d38-41d4-afa9-fa51a02ca800.pdf)"
,8 May - Q4 FY26 earnings call audio recording uploaded on 8 May 2026.,[Audio Recording Q4FY26 Earnings Call 8 May - Q4 FY26 earnings call audio recording uploaded on 8 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/2c95321d-62b8-49ea-9301-c157aa16d2e3.pdf)
,"7 May - Pidilite reported Q4 FY26 revenue growth, 15.3% UVG, stronger margins, and proposed Rs 11.5 dividend.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 7 May - Pidilite reported Q4 FY26 revenue growth, 15.3% UVG, stronger margins, and proposed Rs 11.5 dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/5f7bbf69-5538-402e-9d13-f26d924acebc.pdf)"
,7 May - Pidilite reported FY26 audited results and recommended Rs 11.50 dividend per share.,"[Audited Financial Results (Standalone And Consolidated) For The Year Ended 31St March, 2026 7 May - Pidilite reported FY26 audited results and recommended Rs 11.50 dividend per share.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8d0e9015-0a0d-49b5-9f96-1c752145fb66.pdf)"
,7 May - Pidilite approved FY26 audited standalone/consolidated results and recommended Rs 11.50 final dividend.,"[Board Meeting Outcome for Audited Financial Results (Standalone And Consolidated) For The Year Ended 31St March, 2026 7 May - Pidilite approved FY26 audited standalone/consolidated results and recommended Rs 11.50 final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b155c9de-19a7-4112-959e-bf2a2df403b0.pdf)"
,"4 Mar - Of Schedule of Analyst/Institutional Investor Meetings under the SEBI (LODR) Regulations, 2015","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 4 Mar - Of Schedule of Analyst/Institutional Investor Meetings under the SEBI (LODR) Regulations, 2015](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7caa14d4-e78e-4727-9435-579bb898aaa9.pdf)"
,4 Mar - Allotment of equity shares pursuant to Employee Stock Option Plan - 2016 (ESOP - 2016),[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS 4 Mar - Allotment of equity shares pursuant to Employee Stock Option Plan - 2016 (ESOP - 2016)](https://www.bseindia.com/xml-data/corpfiling/AttachHis/5cffea22-fd00-444c-b6c7-6787890b9581.pdf)
,29 Apr - Pidilite subsidiary PVPL signs share swap for Buildnext and may invest up to Rs 22 crore in CCPS.,"[Intimation Under Regulation 30 Of The SEBI (Listing Obligation And Disclosure Requirements) Regulations, 2015 29 Apr - Pidilite subsidiary PVPL signs share swap for Buildnext and may invest up to Rs 22 crore in CCPS.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/962871e6-d6a5-4505-8e10-e5eda95f7d21.pdf)"
,29 Apr - Pidilite subsidiary PVPL signs share swap for Buildnext and may invest up to Rs 22 crore in CCPS.,"[Intimation Under Regulation 30 Of The SEBI (Listing Obligation And Disclosure Requirements) Regulations, 2015 29 Apr - Pidilite subsidiary PVPL signs share swap for Buildnext and may invest up to Rs 22 crore in CCPS.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/962871e6-d6a5-4505-8e10-e5eda95f7d21.pdf)"
,Date,Document
,---,---
,2026-05-08,[Audio Recording Q4FY26 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2c95321d-62b8-49ea-9301-c157aa16d2e3.pdf)
,2026-02-04,[Audio Recording Q3FY26 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d96f18a-539b-45e6-a4b2-58a1da8a5759.pdf)
,2025-10-31,[Audio Recording Of Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77fbd20e-1fbd-4226-b012-5c4d4687594b.pdf)
,2025-08-07,[Audio Recording Q1FY26 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc258053-90a2-4bf5-878c-920e67599759.pdf)
,2025-05-09,[Audio Recording Of Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35e3f9db-9f82-47a8-95ef-d42721ea3853.pdf)
,2025-01-23,[Audio Recording Of Q3FY25 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c6ea20d-d01e-4743-8adc-bf16382c3323.pdf)
,2024-10-25,[Audio Recording](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8096bc9-7c40-4738-9f35-74c51636ebcc.pdf)
,2024-08-09,[Audio Recording Q1FY25 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=740e3f59-3272-4d48-9f3c-1e1bc1dff450.pdf)
,2024-05-09,[Audio Recording Q4FY24 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7790e13c-8db6-4bfd-b528-8b97de99f308.pdf)
,2024-01-25,[Audio Recording Of Q3FY24 Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f588528e-06fc-42af-8331-dafb5f2aa3c9.pdf)
,Date,Document
,---,---
,Oct 2024,[Concall - Oct 2024](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2e7678d9-330f-49ed-b194-fb73a391f59c.pdf)
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a2bb53f-48f2-4cc3-ae99-19720542aa0f.pdf)
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/6a2bb53f-48f2-4cc3-ae99-19720542aa0f.pdf)
,Nov 2023,[Concall - Nov 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a0307989-5570-4e69-941e-ec0415be17b3.pdf)
,Nov 2023,[Concall - Nov 2023](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a0307989-5570-4e69-941e-ec0415be17b3.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/badde5e7-23d3-4f3f-8c8f-4075465709a8.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/badde5e7-23d3-4f3f-8c8f-4075465709a8.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/161a9083-0519-49e6-9cae-98cbcba34cf6.pdf)
,May 2025,[Concall - May 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/95c67bdc-832f-4594-ac39-84427f8760d2.pdf)
,May 2025,[Concall - May 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/654252c5-fb4c-4abe-91d6-e40111e87bac.pdf)
,Date,Document
,---,---
,from bse,[Annual Report 2026 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/84c374a7-10a3-4a3b-8693-cc7e75a0a6b8.pdf)
,from bse,[Annual Report 2025 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/344b4889-6fa9-4a1f-adc3-d52ce16690b4.pdf)
,from bse,[Annual Report 2024 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7cc75aa9-8e98-42f3-9d45-a61e93c5574e.pdf)
