Item,Dec 2022,Mar 2023,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1751,1640,1689,1717,2365,2825,2854,2639,2872,2918,3424,3368
Expenses,1570,966,729,2780,936,1374,1537,919,922,983,1978,1296
Operating Profit,181,674,960,-1063,1429,1451,1317,1721,1949,1935,1446,2073
OPM %,10,41,57,-62,60,51,46,65,68,66,42,62
Other Income,7,-10250,-1855,249,121,58,269,129,11,96,1377,160
Interest,834,848,928,999,1305,1364,1417,1492,1567,1646,1674,1734
Depreciation,22,37,38,45,55,54,53,57,144,57,645,56
Profit before tax,-668,-10461,-1862,-1858,190,91,116,301,249,328,505,443
Tax %,-523,-14,-31,-60,14,57,12,8,-31,-22,1,-4
Net Profit,2824,-8982,-1282,-752,163,39,102,276,327,401,502,461
EPS in Rs,1.32,-4.2,-0.6,-0.32,0.07,0.02,0.04,0.11,14.42,17.69,22.14,20.34
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10849,12882,9558,8771,6039,6644,6729,10375,11903,12582,,
Expenses,1413,4496,21824,28621,1859,5660,4915,4608,4801,5178,,
Operating Profit,9436,8386,-12266,-19850,4180,984,1814,5767,7102,7403,,
OPM %,87,65,-128,-226,69,15,27,56,60,59,,
Other Income,41,-22,19,32,-62,-10210,-1618,373,1563,1644,,
Interest,7744,9417,5736,218,3337,3470,3659,5282,6379,6621,,
Depreciation,28,51,79,81,52,97,152,214,903,902,,
Profit before tax,1706,-1104,-18063,-20117,728,-12794,-3616,645,1383,1525,,
Tax %,27,-11,-26,-25,26,-42,-45,25,-9,—,,
Net Profit,1263,-966,-13456,-15051,540,-7401,-1975,485,1506,1691,,
EPS in Rs,40.28,-30.78,-428.77,-479.61,0.25,-3.46,-0.85,0.19,66.36,74.59,,
Dividend Payout %,14,0,0,0,0,0,0,0,17,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,313,314,314,314,314,21365,21365,23365,45,45,,
Reserves,7417,8684,7624,-5860,-20959,823,-6584,-8470,27051,28103,,
Borrowings,81511,91979,96812,90412,89851,46416,41233,45680,65577,79989,,
Other Liabilities,3048,5367,1853,964,1153,11036,6253,5283,2271,2409,,
Total Liabilities,92290,106344,106602,85830,70359,79640,62266,65858,94943,110546,,
Fixed Assets,211,850,865,920,940,10820,1616,1768,3268,2352,,
CWIP,634,129,104,105,0,12,4,10,43,116,,
Investments,13509,8120,2498,3881,8449,13851,12966,8307,12539,9814,,
Other Assets,77936,97245,103135,80924,60970,54956,47681,55773,79094,98264,,
Total Assets,92290,106344,106602,85830,70359,79640,62266,65858,94943,110546,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-15593,-18136,-8735,12576,7135,8661,6723,-1928,-8119,-15892,,
Cash from Investing Activity,-10930,6091,6135,644,-4526,764,72,-816,-471,2631,,
Cash from Financing Activity,26289,11173,1937,-7631,0,-8366,-9487,2773,11625,12393,,
Net Cash Flow,-234,-872,-663,5589,2609,1060,-2691,29,3035,-869,,
Free Cash Flow,-15693,-18319,-8820,12556,7139,8615,6694,-2149,-8160,-15949,,
CFO/OP,-148,-188,-99,-103,-36,217,683,-106,-141,-224,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,0,1,0,0,0,0,0,0,0,0,,
Cash Conversion Cycle,0,1,0,0,0,0,0,0,0,0,,
Working Capital Days,-346,-421,-62,38,34,-495,-230,-178,71,84,,
ROCE %,10,10,8,-13,-26,6,1,3,8,6,,
