Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,1766,1748,1801,1813,1868,1923,2030,2064,2168,2110,2170,2252
Expenses,190,206,156,153,130,149,125,136,84,174,49,185
Financing Profit,519,455,575,563,619,615,726,693,816,683,874,728
Financing Margin %,29,26,32,31,33,32,36,34,38,32,40,32
Other Income,2,3,5,9,2,2,15,7,4,2,-9,3
Interest,1058,1087,1070,1097,1119,1158,1178,1235,1267,1253,1246,1339
Depreciation,11,13,14,13,14,14,14,15,16,16,19,16
Profit before tax,509,445,566,559,607,603,727,686,804,669,846,715
Tax %,24,22,22,21,22,22,22,22,22,22,23,22
Net Profit,384,347,444,439,472,471,567,532,626,521,649,554
EPS in Rs,14.81,13.34,17.09,16.89,18.15,18.14,21.82,20.44,24.05,20,24.9,21.28
Gross NPA %,1.78,1.73,1.5,1.35,1.24,1.19,1.08,1.06,1.04,1.04,0.93,0.95
Net NPA %,1.19,1.14,0.95,0.92,0.84,0.8,0.69,0.69,0.69,0.68,0.57,0.58
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,5488,7481,8478,7565,6141,6491,7016,7651,8500,8700,,
Expenses,693,708,1719,1235,964,1173,737,557,442,493,,
Financing Profit,1258,1606,884,1230,1111,1416,2015,2542,3057,3101,,
Financing Margin %,23,21,10,16,18,22,29,33,36,36,,
Other Income,0,4,7,15,5,2,7,10,13,-1,,
Interest,3537,5167,5876,5100,4066,3901,4264,4553,5002,5106,,
Depreciation,24,31,66,59,53,51,51,56,66,68,,
Profit before tax,1235,1578,825,1187,1063,1367,1972,2496,3004,3033,,
Tax %,32,31,17,22,23,23,23,22,22,—,,
Net Profit,842,1081,682,925,822,1056,1527,1949,2328,2351,,
EPS in Rs,32.9,42.01,26.39,35.78,31.72,40.7,58.81,74.98,89.34,90.23,,
Dividend Payout %,18,14,0,0,0,0,0,7,9,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,166,167,167,168,168,169,169,260,260,261,,
Reserves,5412,6402,7268,7779,8699,9632,10784,14673,16574,18965,,
Borrowing,35497,53777,71859,67736,59394,53005,53621,55017,62310,71199,,
Other Liabilities,1885,2673,4456,3191,3072,2844,2231,2422,3353,3109,,
Total Liabilities,42960,63018,83750,78874,71333,65649,66805,72371,82497,93533,,
Fixed Assets,58,255,102,250,181,150,146,206,239,273,,
CWIP,2,10,5,4,2,4,3,15,16,6,,
Investments,3280,2413,4457,2048,2033,3472,3188,4345,3381,2777,,
Other Assets,39620,60340,79185,76572,69117,62024,63468,67804,78861,90477,,
Total Assets,42960,63018,83750,78874,71333,65649,66805,72371,82497,93533,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-12406,-15664,-16626,8911,6731,6218,-1772,-4644,-8120,-8973,,
Cash from Investing Activity,-17,-50,-53,-62,-6,-1476,174,-1193,757,736,,
Cash from Financing Activity,12322,18464,17888,-4362,-8331,-6684,301,4179,7404,8720,,
Net Cash Flow,-101,2751,1209,4486,-1606,-1942,-1297,-1659,41,483,,
Free Cash Flow,-12423,-15713,-16679,8849,6725,6203,-1786,-4683,-8168,-9005,,
CFO/OP,-350,-317,-238,137,111,127,-28,-68,-109,-104,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,14,14,15,9,11,9,10,12,12,13,,
