Item,Indicator,Value,Signal
,SMA (10),457.56,Sell
,EMA (10),457.81,Sell
,SMA (20),471.67,Sell
,EMA (20),465.29,Sell
,SMA (50),473.65,Sell
,EMA (50),464.08,Sell
,SMA (100),444.39,Buy
,EMA (100),454,Sell
,SMA (200),442.32,Buy
,EMA (200),442.16,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),35.09,Neutral
,"MACD (12,26,9)",-7.02,Sell
,"Stochastic (14,3,3)",11.87,Buy
,ADX (14),19.46,Neutral
,Williams %R (14),-82.41,Buy
,ATR (14),12.39,Neutral
,ROC (12),-5.8,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",45.58,Neutral
