Item,Indicator,Value,Signal
,SMA (10),31937,Sell
,EMA (10),31922.43,Sell
,SMA (20),32953.5,Sell
,EMA (20),32487.43,Sell
,SMA (50),32814.6,Sell
,EMA (50),32870.93,Sell
,SMA (100),33585.25,Sell
,EMA (100),31887.56,Sell
,SMA (200),27735.99,Buy
,EMA (200),28711.44,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.69,Neutral
,"MACD (12,26,9)",-587.72,Sell
,"Stochastic (14,3,3)",20.59,Neutral
,ADX (14),18.97,Neutral
,Williams %R (14),-76.08,Neutral
,ATR (14),945.29,High Volatility
,ROC (12),-5.1,Sell
,Stoch RSI (14),25.35,Neutral
,"UO (7,14,28)",46.96,Neutral
