Item,Indicator,Value,Signal
,SMA (10),215.82,Sell
,EMA (10),215.29,Sell
,SMA (20),213.86,Sell
,EMA (20),212.9,Sell
,SMA (50),199.58,Buy
,EMA (50),201.75,Buy
,SMA (100),184.29,Buy
,EMA (100),189.76,Buy
,SMA (200),172.65,Buy
,EMA (200),183.93,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),51.08,Neutral
,"MACD (12,26,9)",4.28,Sell
,"Stochastic (14,3,3)",29.56,Neutral
,ADX (14),30.77,Buy
,Williams %R (14),-80.61,Buy
,ATR (14),7.51,High Volatility
,ROC (12),0.03,Buy
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",44.04,Neutral
