Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2236,1796,2164,1862,2304,1654,1528,2307,2432,3873,4074,2675
Expenses,1651,1261,1336,1079,1684,1071,999,1430,1522,3013,3063,1826
Operating Profit,585,535,828,784,620,583,529,877,910,860,1010,849
OPM %,26,30,38,42,27,35,35,38,37,22,25,32
Other Income,1020,175,108,162,119,43,61,161,278,36,70,160
Interest,264,293,424,346,356,345,286,384,385,384,430,418
Depreciation,174,180,197,190,200,205,217,216,219,234,238,226
Profit before tax,1167,237,314,409,183,77,87,439,584,278,413,366
Tax %,22,31,25,25,-28,58,51,29,22,12,29,26
Net Profit,910,165,236,307,235,32,43,312,457,245,292,271
EPS in Rs,21.23,2.9,3.49,5.8,4.46,0.41,0.58,6.79,9.99,5.17,5.81,5.48
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5499,5172,8125,7242,6390,8315,7877,7349,12685,13053,,
Expenses,4222,3718,5769,5308,4872,6227,5379,4833,8992,9424,,
Operating Profit,1277,1454,2356,1934,1517,2088,2498,2516,3693,3630,,
OPM %,23,28,29,27,24,25,32,34,29,28,,
Other Income,82,232,161,3036,1018,780,1560,386,509,544,,
Interest,566,723,1023,979,555,807,1219,1334,1582,1617,,
Depreciation,155,323,667,593,471,647,716,812,906,916,,
Profit before tax,638,640,827,3398,1509,1414,2122,756,1714,1641,,
Tax %,33,31,34,15,20,25,23,18,24,—,,
Net Profit,425,442,549,2878,1215,1067,1629,617,1305,1265,,
EPS in Rs,9.9,11.08,10.06,69.41,28.69,23.49,34.28,10.85,27.76,26.45,,
Dividend Payout %,12,14,15,2,5,6,5,17,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,375,375,375,401,401,401,401,401,431,431,,
Reserves,4040,4358,3852,4959,7600,8694,9574,10888,14992,15842,,
Borrowings,5739,7416,8487,9272,4898,7412,9420,13458,13180,17659,,
Other Liabilities,6676,6754,15720,14844,12201,13664,16876,23227,29634,38872,,
Total Liabilities,16830,18902,28433,29476,25100,30171,36271,47974,58237,72805,,
Fixed Assets,3622,5135,6732,8986,3780,5858,6780,8669,10545,11965,,
CWIP,1795,2508,1645,2143,2740,1725,2399,2137,1424,2207,,
Investments,355,435,778,789,907,772,1023,1279,1250,2175,,
Other Assets,11058,10825,19277,17558,17672,21816,26069,35889,45018,56457,,
Total Assets,16830,18902,28433,29476,25100,30171,36271,47974,58237,72805,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,514,1072,762,2226,1839,2140,1540,1297,131,3223,,
Cash from Investing Activity,-522,-2005,-549,-2346,355,-4016,-2697,-2455,-1348,-5636,,
Cash from Financing Activity,-80,960,87,252,-634,1598,546,1969,959,1959,,
Net Cash Flow,-87,26,300,133,1560,-278,-612,812,-258,-453,,
Free Cash Flow,-353,497,18,728,1090,-130,-111,-603,-1367,349,,
CFO/OP,91,106,68,107,106,157,89,69,21,106,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,77,64,117,66,69,81,58,57,67,59,,
Inventory Days,—,7574,—,2500,1954,7470,—,—,—,—,,
Days Payable,—,1795,—,269,221,633,—,—,—,—,,
Cash Conversion Cycle,77,5843,117,2297,1803,6918,58,57,67,59,,
Working Capital Days,56,-87,-198,-114,-20,87,30,104,274,107,,
ROCE %,8,11,10,13,11,8,10,11,8,10,,
