Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,11688,12052,12677,13079,13682,14272,15334,14737,15153,15051,14564,14435
Expenses,-492,240,-425,717,97,263,1084,217,476,655,1231,447
Financing Profit,4831,4158,5206,4341,5079,5172,5482,5587,5546,5154,4402,5241
Financing Margin %,41,34,41,33,37,36,36,38,37,34,30,36
Other Income,13,20,29,14,24,15,15,87,10,-11,20,35
Interest,7350,7654,7896,8020,8506,8837,8768,8934,9131,9243,8931,8748
Depreciation,6,6,6,6,6,6,6,7,7,7,7,7
Profit before tax,4838,4172,5229,4349,5097,5181,5490,5666,5549,5136,4415,5268
Tax %,22,21,22,20,21,21,21,21,20,21,24,20
Net Profit,3790,3308,4079,3460,4038,4076,4310,4466,4415,4052,3375,4193
EPS in Rs,14.39,12.56,15.49,13.14,15.33,15.48,16.37,16.96,16.77,15.39,12.82,15.92
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,22658,25408,29942,35557,39276,39486,47517,56369,59586,59202,,
Expenses,3379,1702,3981,3292,4838,1858,-366,2153,2568,2809,,
Financing Profit,5946,8066,6969,10776,12387,13894,17936,20084,20780,20342,,
Financing Margin %,26,32,23,30,32,35,38,36,35,34,,
Other Income,18,33,72,15,62,28,48,58,13,53,,
Interest,13333,15639,18991,21489,22051,23733,29948,34131,36238,36051,,
Depreciation,7,8,12,11,18,24,24,25,27,27,,
Profit before tax,5958,8090,7030,10780,12431,13898,17960,20117,20766,20368,,
Tax %,25,29,29,22,19,20,21,21,21,—,,
Net Profit,4451,5741,4972,8378,10036,11167,14145,15884,16308,16035,,
EPS in Rs,16.9,21.8,18.88,31.82,38.11,42.41,53.72,60.32,61.93,60.9,,
Dividend Payout %,41,38,44,30,30,30,30,30,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1975,1975,1975,1975,1975,1975,2633,2633,2633,2633,,
Reserves,31696,30613,32571,33422,41789,49339,55487,66717,75184,81863,,
Borrowing,167852,204367,244249,286289,329723,333043,380790,445568,496801,515284,,
Other Liabilities,8723,5416,19659,25345,27380,26503,26592,33273,39883,40378,,
Total Liabilities,210245,242370,298454,347030,400867,410860,465503,548191,614502,640158,,
Fixed Assets,355,132,165,166,267,628,641,632,629,616,,
CWIP,166,129,199,288,336,6,3,24,76,128,,
Investments,2617,2948,2463,2386,1981,2190,3170,5352,6674,9831,,
Other Assets,207108,239162,295627,344190,398282,408035,461689,542184,607123,629583,,
Total Assets,210245,242370,298454,347030,400867,410860,465503,548191,614502,640158,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,6805,-32510,-35866,-32712,-43512,-3910,-37360,-57723,-39064,5972,,
Cash from Investing Activity,-101,46,457,121,861,-287,-943,-1831,-1302,-3308,,
Cash from Financing Activity,-3947,28244,35543,33926,42113,3159,38123,59588,40034,-2375,,
Net Cash Flow,2757,-4220,134,1336,-538,-1038,-180,34,-333,289,,
Free Cash Flow,6601,-32584,-35957,-32812,-43586,-3958,-37377,-57756,-39070,5948,,
CFO/OP,42,-157,-143,-119,-126,-2,-92,-114,-64,17,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,20,13,17,14,21,21,20,22,22,20,,
