Item,Indicator,Value,Signal
,SMA (10),721.75,Sell
,EMA (10),719.56,Sell
,SMA (20),730.4,Sell
,EMA (20),717.82,Sell
,SMA (50),670.71,Buy
,EMA (50),682.72,Buy
,SMA (100),623.37,Buy
,EMA (100),640.71,Buy
,SMA (200),575.59,Buy
,EMA (200),612.55,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),50.12,Neutral
,"MACD (12,26,9)",8.36,Sell
,"Stochastic (14,3,3)",38.82,Neutral
,ADX (14),33.43,Buy
,Williams %R (14),-72.04,Neutral
,ATR (14),24.78,High Volatility
,ROC (12),-2.84,Sell
,Stoch RSI (14),14.58,Buy
,"UO (7,14,28)",45.8,Neutral
