Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2038,1944,1997,1992,1760,1853,1978,1886,1974,1873,1887,1956
Expenses,1318,2307,1811,1342,1384,1361,1388,1321,1356,1269,1311,1394
Operating Profit,720,-364,186,651,376,492,590,565,618,604,576,562
OPM %,35,-19,9,33,21,27,30,30,31,32,31,29
Other Income,117,175,175,77,3433,307,88,140,93,77,-323,147
Interest,716,602,517,551,562,544,399,426,395,371,474,387
Depreciation,259,258,287,250,243,204,211,207,208,210,205,207
Profit before tax,-138,-1048,-444,-73,3004,50,67,72,108,100,-426,116
Tax %,72,8,-10,34,4,16,-87,38,19,75,16,44
Net Profit,-238,-1137,-398,-98,2878,42,126,45,87,25,-494,65
EPS in Rs,-0.64,-3.04,-0.99,-0.24,7.16,0.1,0.31,0.11,0.21,0.06,-1.19,0.16
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,9593,8201,7562,7934,7503,7514,7893,7583,7620,7690,,
Expenses,5199,4268,4536,4359,4768,5628,6733,5441,5255,5330,,
Operating Profit,4393,3934,3027,3575,2735,1886,1160,2142,2365,2361,,
OPM %,46,48,40,45,36,25,15,28,31,31,,
Other Income,276,-2823,-3384,486,192,1296,499,3871,-14,-5,,
Interest,2926,3206,3054,2539,2721,2504,2451,2056,1666,1627,,
Depreciation,759,838,836,1083,1077,1017,1062,910,829,830,,
Profit before tax,984,-2934,-4248,439,-871,-339,-1854,3048,-145,-101,,
Tax %,15,1,1,-3,5,19,12,3,132,—,,
Net Profit,840,-2952,-4271,454,-915,-403,-2068,2948,-337,-317,,
EPS in Rs,3,-10.52,-14.53,0.82,-2.84,-1.26,-5.15,7.34,-0.81,-0.76,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,2805,2805,2805,2805,2805,3400,3735,4017,4017,4136,,
Reserves,18562,18430,14572,9064,9441,8364,7860,7597,12320,11904,,
Borrowings,32925,31697,30456,28804,25635,23129,21236,18766,15153,14812,,
Other Liabilities,9872,9242,10245,12671,12901,14919,15704,13378,9793,10441,,
Total Liabilities,64165,62174,58078,53343,50782,49812,48535,43758,41283,41293,,
Fixed Assets,34851,34881,35903,38574,37190,36308,35776,33584,31859,30944,,
CWIP,7403,6913,4276,3615,1912,2020,2320,1293,1387,1720,,
Investments,799,280,224,30,36,37,39,209,173,142,,
Other Assets,21112,20100,17675,11124,11644,11447,10401,8672,7864,8486,,
Total Assets,64165,62174,58078,53343,50782,49812,48535,43758,41283,41293,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,4705,4365,4223,4543,4149,3613,4024,3174,1938,2824,,
Cash from Investing Activity,-2142,354,60,-247,486,284,-354,-192,451,-212,,
Cash from Financing Activity,-3389,-4311,-4839,-4200,-4615,-3849,-3623,-2734,-2435,-1828,,
Net Cash Flow,-826,408,-556,96,19,48,46,248,-46,785,,
Free Cash Flow,4130,3918,4180,3998,4015,3417,3639,3225,2091,2708,,
CFO/OP,106,104,108,154,117,134,216,277,92,122,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,105,94,122,114,111,156,130,76,73,63,,
Cash Conversion Cycle,105,94,122,114,111,156,130,76,73,63,,
Working Capital Days,-158,-209,-567,-551,-485,-622,-682,-661,-310,-348,,
ROCE %,8,7,7,6,7,5,3,1,6,6,,
