Item,Date,Document
,2026-08-29,[Disclosure Under Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations 2015 (SEBI Listing Regulations)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9a6d981-da18-451f-96cd-78e1933ebde2.pdf)
,2026-08-11,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c985be24-2d04-419c-9efa-d2ec85f32dd8.pdf)
,2026-08-04,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4fb4a39-26c2-433a-9e95-920cd0399b21.pdf)
,2026-07-27,[Board Meeting Outcome for Outcome Of The Board Meeting For Approval Of Unaudited Standalone And Consolidated Financial Results For The Quarter Ended 30 June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=41784f47-f07d-4900-8e21-ca4fd6b50254.pdf)
,2026-07-27,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e3ceafe4-2edb-4c69-bcac-47c25751bae0.pdf)
,2026-07-22,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0995bfda-62a9-4190-b87c-d507a0686828.pdf)
,2026-07-19,[Board Meeting Intimation for Approval Of Unaudited Financial Results (Standalone And Consolidated) Of The Company For The Quarter Ended 30 June 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=162fe426-6553-470d-ba2b-598a31a199fb.pdf)
,2026-07-15,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be256ed9-07ea-4f1d-847c-0e7f9f277235.pdf)
,2026-07-15,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=85712379-c1e2-4a65-b3ce-88b82bd86b42.pdf)
