Item,Indicator,Value,Signal
,SMA (10),2561.72,Sell
,EMA (10),2533.77,Sell
,SMA (20),2704,Sell
,EMA (20),2613.28,Sell
,SMA (50),2585.46,Sell
,EMA (50),2557.02,Sell
,SMA (100),2309.87,Buy
,EMA (100),2333.86,Buy
,SMA (200),1868.62,Buy
,EMA (200),2014.59,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),35.84,Neutral
,"MACD (12,26,9)",-63.67,Sell
,"Stochastic (14,3,3)",11.67,Buy
,ADX (14),38.77,Buy
,Williams %R (14),-88.71,Buy
,ATR (14),106.45,High Volatility
,ROC (12),-13.74,Sell
,Stoch RSI (14),12.23,Buy
,"UO (7,14,28)",37.73,Neutral
