Item,Indicator,Value,Signal
,SMA (10),208.12,Sell
,EMA (10),209.19,Sell
,SMA (20),215.16,Sell
,EMA (20),213.74,Sell
,SMA (50),222.82,Sell
,EMA (50),223.83,Sell
,SMA (100),243.21,Sell
,EMA (100),240.38,Sell
,SMA (200),276.65,Sell
,EMA (200),268.74,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),31.47,Neutral
,"MACD (12,26,9)",-5.75,Sell
,"Stochastic (14,3,3)",10.61,Buy
,ADX (14),23.37,Neutral
,Williams %R (14),-87.04,Buy
,ATR (14),5.06,Neutral
,ROC (12),-7.45,Sell
,Stoch RSI (14),30.76,Neutral
,"UO (7,14,28)",32.83,Neutral
