Item,Date,Document
,"7 May - Sammaan Capital paid principal and interest on ₹2,500 lakh NCDs due 8 May 2026.","[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 7 May - Sammaan Capital paid principal and interest on ₹2,500 lakh NCDs due 8 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/dc6d2f7d-17fd-4576-8b9b-7bb714e2e773.pdf)"
,"7 May - RBI granted no objection on May 7, 2026 for SFL NBFC business transfer under scheme of arrangement.","[Receipt Of 'No Objection Certificate' From Reserve Bank Of India ('RBI') For Transfer Of NBFC Business Of Sammaan Finserve Limited To Samaman Capital Limited Pursuant To The Scheme Of Arrangement Between Sammaan Capital Limited ('Company' / 'SCL' / 'Resulting Company') And Sammaan Finserve Limited ('SFL' / 'Demerged Company') And Their Respective Shareholders And Creditors ('Scheme' Or 'Scheme Of Arrangement'). 7 May - RBI granted no objection on May 7, 2026 for SFL NBFC](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c08994b5-e261-4af4-acb4-e27970b4238c.pdf)"
,"5 May - Completed cash tender offer for $45 million bonds on May 5, 2026; $405 million remains outstanding.","[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015, As Amended - Final Results Of Cash Tender Offer 5 May - Completed cash tender offer for $45 million bonds on May 5, 2026; $405 million remains outstanding.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d8904674-2dfc-4c0f-8c3a-2660bcf2bb27.pdf)"
,30 Apr - Sammaan Capital paid Rs112.16 lakh interest on NCD ISIN INE148I07YC5 on 30 April 2026.,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 30 Apr - Sammaan Capital paid Rs112.16 lakh interest on NCD ISIN INE148I07YC5 on 30 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1d97e031-c237-4dd7-9479-c6298852f214.pdf)
,2d - Sammaan Capital paid Rs 144.54 lakh interest on NCDs on 9 May 2026.,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 2d - Sammaan Capital paid Rs 144.54 lakh interest on NCDs on 9 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/757d9c68-3a1c-4340-ae70-4ffb9044c750.pdf)
,"2d - Sammaan Capital paid April 2026 NCD interest of ₹26.53 lakh on May 8, 2026.","[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 2d - Sammaan Capital paid April 2026 NCD interest of ₹26.53 lakh on May 8, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/38357fbc-de85-42b6-8a02-92d295a830af.pdf)"
,"2 May - 41,110 shares tendered in Avenir/IHC open offer for 26.05% of Sammaan Capital.","[Updates on Open Offer 2 May - 41,110 shares tendered in Avenir/IHC open offer for 26.05% of Sammaan Capital.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7F29F460-E29D-426D-B471-0A3F11512B8D-083915.pdf)"
,"11 Sep - Sammaan Capital allotted NCDs worth ₹775 crore on September 11, 2026.","[Announcement under Regulation 30 (LODR)-Allotment 11 Sep - Sammaan Capital allotted NCDs worth ₹775 crore on September 11, 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=29157c09-23a7-4125-8406-c616181de189.pdf)"
,10h - Timely payment of ₹84.07 lakh interest on listed NCDs due 16 April 2026.,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 10h - Timely payment of ₹84.07 lakh interest on listed NCDs due 16 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ebb573c6-aff0-47aa-8f80-e9e623c428d1.pdf)
,10h - Timely interest paid on multiple NCDs; payment made on 29 April 2026.,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD 10h - Timely interest paid on multiple NCDs; payment made on 29 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ffaa4568-6310-42b4-ac04-876b2c040b6a.pdf)
,Date,Document
,---,---
,2026-09-10,[Shareholder Meeting / Postal Ballot-Outcome of Court Convened Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cec3c612-a572-4b80-993d-8c27d359a1ab.pdf)
,2026-09-10,"[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95bfe424-2af8-4752-8b34-6e5a2edcb013.pdf)"
,2026-09-09,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00fe8699-9932-4157-b741-dba716024a80.pdf)
,2026-09-09,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7ab2683e-0e79-4ee2-9c59-1c74683b9dd1.pdf)
,2026-09-09,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=810e6b10-5e8b-46f1-8858-af15114371c9.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a697866-1696-4001-8f14-8b5683cc1feb.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4447fd8-294a-433c-9034-4753098aad2e.pdf)
,2026-09-08,[Compliances-Reg. 57 (1) - Certificate of interest payment/Principal in case of NCD](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=047067e9-6f16-482f-9ae1-c2c7f8102543.pdf)
,2026-09-08,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=808d76b3-01f2-4d1c-b73d-43de15c930c7.pdf)
,2026-09-08,[Annual General Meeting Of The Company Has Been Scheduled To Be Held On Wednesday September 30 2026 At 11:30 A.M. (IST)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=263824f8-0772-48c4-aee9-369d93c8dd30.pdf)
,Date,Document
,---,---
