Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,246,264,279,297,314,333,361,388,411,426,454,491
Expenses,83,90,91,94,100,105,113,123,131,127,138,160
Financing Profit,74,89,100,109,114,122,130,141,151,163,169,179
Financing Margin %,30,34,36,37,36,37,36,36,37,38,37,36
Other Income,0,0,1,0,0,0,1,0,0,0,0,0
Interest,89,85,88,95,100,106,118,125,129,136,147,152
Depreciation,3,3,4,4,4,5,5,5,5,5,5,5
Profit before tax,71,86,97,105,110,117,126,136,146,158,164,174
Tax %,26,25,24,25,24,25,25,26,25,25,25,25
Net Profit,53,64,73,79,84,88,94,101,109,118,123,130
EPS in Rs,0.49,0.6,0.68,0.73,0.78,0.81,0.87,0.93,1,1.08,1.11,1.18
Gross NPA %,2.37,2.38,2.43,2.6,2.69,2.7,2.74,2.78,2.77,2.71,2.61,2.66
Net NPA %,1.33,1.36,1.36,1.51,1.63,1.63,1.51,1.57,1.51,1.48,1.54,1.55
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Revenue,177,445,510,529,734,1019,1305,1679,1782,,,
Expenses,89,134,149,210,247,338,409,516,556,,,
Financing Profit,37,67,123,97,209,329,475,623,661,,,
Financing Margin %,21,15,24,18,28,32,36,37,37,,,
Other Income,0,0,1,1,5,1,0,0,1,,,
Interest,50,244,239,222,278,352,421,539,565,,,
Depreciation,2,8,10,12,13,13,17,20,20,,,
Profit before tax,35,59,114,87,201,316,459,604,642,,,
Tax %,30,39,25,26,26,25,25,25,—,,,
Net Profit,24,36,85,65,150,237,345,451,480,,,
EPS in Rs,0.36,0.46,1.03,0.77,1.67,2.21,3.18,4.07,4.37,,,
Dividend Payout %,0,0,0,0,0,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,676,742,797,807,890,1072,1085,1106,,,,
Reserves,204,270,408,480,838,1706,2105,2619,,,,
Borrowing,842,3056,2768,2940,3739,3996,5264,7162,,,,
Other Liabilities,71,140,258,288,280,289,141,199,,,,
Total Liabilities,1793,4208,4231,4515,5747,7063,8596,11085,,,,
Fixed Assets,270,294,301,299,296,300,308,314,,,,
CWIP,0,0,0,0,1,2,1,2,,,,
Investments,167,1879,1484,848,607,427,327,192,,,,
Other Assets,1356,2035,2446,3368,4843,6334,7961,10577,,,,
Total Assets,1793,4208,4231,4515,5747,7063,8596,11085,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,-368,-383,-275,-822,-1245,-1155,-1415,-1893,,,,
Cash from Investing Activity,146,-1863,375,652,206,158,176,131,,,,
Cash from Financing Activity,395,2291,-187,183,1071,1037,1281,1977,,,,
Net Cash Flow,173,45,-87,13,32,40,41,216,,,,
Free Cash Flow,-376,-389,-290,-831,-1253,-1167,-1427,-1907,,,,
CFO/OP,-421,-104,-64,-244,-243,-156,-144,-148,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
ROE %,3,4,8,5,10,11,12,13,,,,
