Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,28805,39033,36255,34654,40302,18862,23071,38996,23115,46133,4071,46337
Expenses,28392,38681,37043,34060,39696,18266,23520,38333,22600,45517,5117,45579
Operating Profit,413,352,-788,594,606,596,-449,664,516,615,-1046,757
OPM %,1.4,0.9,-2.2,1.7,1.5,3.2,-1.9,1.7,2.2,1.3,-26,1.6
Other Income,12,18,1639,3,-4,-3,1350,-8,16,27,1913,36
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,424,370,851,597,601,594,901,656,532,642,867,793
Tax %,10,13,5,13,12,7,10,9,7,10,7,9
Net Profit,380,322,811,520,529,551,814,594,495,577,805,725
EPS in Rs,3.8,3.21,8.1,5.19,5.28,5.5,8.12,5.93,4.93,5.75,8.02,7.23
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,34068,44604,43798,81913,82983,80636,131988,116888,112315,119656,,
Expenses,32736,43130,42447,81040,82254,78713,129884,115469,111451,118813,,
Operating Profit,1332,1474,1351,872,730,1923,2104,1420,864,843,,
OPM %,3.9,3.3,3.1,1.1,0.9,2.4,1.6,1.2,0.8,0.7,,
Other Income,156,266,529,867,1032,51,50,1357,1948,1991,,
Interest,6,8,0,0,0,0,0,0,0,0,,
Depreciation,59,92,89,99,75,68,76,84,115,0,,
Profit before tax,1422,1642,1790,1640,1687,1906,2078,2693,2697,2834,,
Tax %,19,19,21,11,11,10,9,10,8,—,,
Net Profit,1150,1327,1422,1456,1506,1721,1894,2413,2470,2601,,
EPS in Rs,11.5,13.27,14.22,14.56,15.05,17.19,18.91,24.08,24.63,25.93,,
Dividend Payout %,17,15,0,17,13,15,14,11,11,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1000,1000,1000,1000,1000,1000,1001,1001,1002,1003,,
Reserves,4552,5528,6576,7743,9400,10622,12017,13907,15983,18083,,
Borrowings,0,0,0,0,0,0,0,0,0,0,,
Other Liabilities,96687,115193,139157,156837,216430,261715,301582,383369,440110,480960,,
Total Liabilities,102240,121720,146734,165580,226830,273337,314599,398277,457095,500046,,
Fixed Assets,507,511,563,568,564,919,520,551,580,647,,
CWIP,31,70,32,13,1,3,1,6,10,41,,
Investments,95830,114436,139325,158813,218756,264437,304334,385590,447467,486367,,
Other Assets,5871,6703,6814,6186,7509,7978,9743,12130,9038,12991,,
Total Assets,102240,121720,146734,165580,226830,273337,314599,398277,457095,500046,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,8525,10395,13473,19299,23878,21852,28656,29122,25547,34523,,
Cash from Investing Activity,-9032,-8910,-13552,-16986,-19203,-21611,-30203,-31221,-21789,-35318,,
Cash from Financing Activity,-144,-221,-241,-198,3,-231,-415,-227,-215,-179,,
Net Cash Flow,-651,1264,-321,2114,4677,10,-1962,-2327,3543,-974,,
Free Cash Flow,8377,10288,13325,19210,23763,21785,28581,29008,25441,34338,,
CFO/OP,798,780,955,1473,2802,3094,1532,1426,1800,3994,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,0,0,0,0,0,0,0,0,0,0,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0,,
Working Capital Days,3,3,4,11,1,-3,1,4,2,4,,
ROCE %,23,24,22,22,17,15,15,15,17,15,,
