Item,Date,Document
,"7 Apr - Certificate received from CB Management Services (P) Ltd, RTA of the Company, for quarter ended March 31, 2026.","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 7 Apr - Certificate received from CB Management Services (P) Ltd, RTA of the Company, for quarter ended March 31, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a76ddee5-dbd5-4c80-bd9d-0f435112f5ea.pdf)"
,"6 May - Annual Secretarial Compliance Report for FY ended March 31, 2026; no non-compliances reported.","[Compliances-Reg.24(A)-Annual Secretarial Compliance 6 May - Annual Secretarial Compliance Report for FY ended March 31, 2026; no non-compliances reported.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/00162b44-fed4-4d4a-8d55-d402a92a490a.pdf)"
,27 Mar - Board approved Vadodara switchgear capex increase from INR110.2Cr to INR156.4Cr.,"[Board Meeting Outcome for Outcome Of Board Meeting - Disclosures Under Regulation 30 Of SEBI (LODR) Regulations, 2015 27 Mar - Board approved Vadodara switchgear capex increase from INR110.2Cr to INR156.4Cr.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e5f90be8-cb41-4104-86b7-b5e2f84a9f9c.pdf)"
,"26 Mar - WESOP participation, loan/matching shares and three related-party approvals passed on March 25, 2026.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 26 Mar - WESOP participation, loan/matching shares and three related-party approvals passed on March 25, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c947471c-4d60-4f71-8903-a25baefa37ef.pdf)"
,"26 Mar - Postal ballot (last e-vote Mar 25, 2026) approved WESOP and three material RPTs; results disclosed.","[Shareholder Meeting / Postal Ballot-Outcome of Postal_Ballot 26 Mar - Postal ballot (last e-vote Mar 25, 2026) approved WESOP and three material RPTs; results disclosed.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/9b52220e-accb-438a-a76d-74157b14c778.pdf)"
,"24 Feb - Copy of newspaper advertisements published in Financial Express - English & Gujarati & Gujarat Samachar regarding postal ballot notice dated February 12, 2026.","[Announcement under Regulation 30 (LODR)-Newspaper Publication 24 Feb - Copy of newspaper advertisements published in Financial Express - English & Gujarati & Gujarat Samachar regarding postal ballot notice dated February 12, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/d46b1cba-3159-4c83-8789-6050736cf1fa.pdf)"
,"23 Feb - Postal ballot: approve 2026 WESOP (5% cap) and RPTs capped INR520/700/400 Cr; voting Feb24–Mar25, 2026.","[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot 23 Feb - Postal ballot: approve 2026 WESOP (5% cap) and RPTs capped INR520/700/400 Cr; voting Feb24–Mar25, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/9543eaee-60f6-437f-8af9-fcc16091fd1c.pdf)"
,19 Feb - NSE Sustainability assigned ESG rating 70 (Category: Aspiring) for FY2024-25; disclosed 19 Feb 2026.,[Announcement under Regulation 30 (LODR)-Credit Rating 19 Feb - NSE Sustainability assigned ESG rating 70 (Category: Aspiring) for FY2024-25; disclosed 19 Feb 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8caebc14-b971-4a94-9230-2c1cbba11d6e.pdf)
,"18 Feb - From time to time, this is to inform you that the officials of the Company will be meeting few of the Analyst/ Investors, as per …","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 18 Feb - From time to time, this is to inform you that the officials of the Company will be meeting few of the Analyst/ Investors, as per …](https://www.bseindia.com/xml-data/corpfiling/AttachHis/5c63bcdd-082c-4a46-8193-8ac72d573ca9.pdf)"
,"17 Apr - Copy of Newspaper Publications dated April 17, 2026 are attached herewith.","[Announcement under Regulation 30 (LODR)-Newspaper Publication 17 Apr - Copy of Newspaper Publications dated April 17, 2026 are attached herewith.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/d08dc69f-c08e-44c6-a27b-81f1a135205a.pdf)"
,Date,Document
,---,---
,2026-09-10,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=193864e3-a3bb-4801-9149-6b1363b0e771.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0146ebaa-386b-4c0d-9d35-e72c29806b48.pdf)
,2026-08-20,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9fcbe23f-4559-45f8-b110-2b61b6d61fcc.pdf)
,2026-08-19,[Intimation Under Reg 30 - Letters To Shareholders With Non Registered Email Ids - 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dcafdd00-a468-430a-8824-a4d2709f239f.pdf)
,2026-08-18,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9238b901-7545-4087-9238-adb6875aad45.pdf)
,2026-08-18,[Notice Of The Sixteenth (16Th) Annual General Meeting And Annual Report Including Annual Accounts For The Financial Year 2025-26 And Matters Related Thereto](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c589a3f4-00ed-4afe-a981-5c014abfa12f.pdf)
,2026-08-18,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=29e7fc5b-41a4-419d-af53-d1e5d9264c03.pdf)
,2026-08-17,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8e340d2-d045-41ec-9eba-f8fb23d4d2c0.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=945eb455-5e66-406c-9152-48956ef9aa2d.pdf)
,2026-08-14,[Board Meeting Outcome for Outcome Of Board Meeting - August 14 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ce49b92-6a72-4f11-b4ec-271a104cf949.pdf)
,Date,Document
,---,---
,2026-08-20,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5b2cb591-e3c4-40ce-90de-0d4e44aeea1c.pdf)
