Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4774,5193,5401,5124,4054,4573,5532,5281,4761,4801,6101,6233
Expenses,3888,3930,3979,4197,3441,3608,4103,3948,3787,3853,4717,4961
Operating Profit,886,1264,1422,927,613,965,1429,1333,974,947,1384,1272
OPM %,19,24,26,18,15,21,26,25,20,20,23,20
Other Income,132,147,150,139,181,111,158,235,179,146,101,212
Interest,67,55,62,56,56,52,41,46,51,59,56,57
Depreciation,412,444,702,704,716,799,788,654,668,710,762,686
Profit before tax,539,913,807,306,23,225,758,868,434,324,667,741
Tax %,17,23,16,9,-229,14,24,26,29,17,21,28
Net Profit,447,702,676,278,77,194,575,644,310,268,528,531
EPS in Rs,123.79,194.53,187.05,77.22,21.19,53.6,159.18,178.12,85.51,73.92,145.7,146.67
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,9833,12555,12868,13560,15010,17852,20404,19283,20943,21896,,
Expenses,7360,9758,9098,9468,11300,14893,15887,15349,16306,17318,,
Operating Profit,2473,2797,3771,4091,3710,2960,4517,3934,4638,4577,,
OPM %,25,22,29,30,25,17,22,20,22,21,,
Other Income,389,69,263,426,544,459,598,589,661,637,,
Interest,135,248,291,251,216,263,258,205,212,223,,
Depreciation,899,1472,1808,1262,1146,1661,1897,3007,2794,2826,,
Profit before tax,1827,1146,1934,3004,2892,1495,2959,1312,2293,2166,,
Tax %,24,11,20,24,19,15,19,14,24,—,,
Net Profit,1384,1015,1544,2290,2337,1269,2396,1124,1749,1636,,
EPS in Rs,397.32,288.86,425.67,633.54,646.31,352.18,663.98,311.18,483.24,451.8,,
Dividend Payout %,13,21,26,9,14,28,16,35,31,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,35,35,35,36,36,36,36,36,36,36,,
Reserves,7663,8862,9636,13133,15361,17424,18600,20667,21502,23231,,
Borrowings,1293,3403,2803,3146,2230,2129,2725,1656,1046,1868,,
Other Liabilities,2175,2842,3019,3629,3886,4159,4973,5566,5880,6312,,
Total Liabilities,11166,15142,15493,19944,21513,23749,26334,27925,28464,31448,,
Fixed Assets,2599,3589,6182,6163,6216,7282,7481,9591,9315,11207,,
CWIP,710,1427,1129,1197,997,1054,2797,1930,3796,1466,,
Investments,4042,5434,2286,6358,8500,9033,8683,7556,7849,10272,,
Other Assets,3814,4691,5896,6227,5800,6380,7373,8848,7504,8503,,
Total Assets,11166,15142,15493,19944,21513,23749,26334,27925,28464,31448,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2202,1879,2080,3973,4254,2668,2569,3347,4920,3794,,
Cash from Investing Activity,-2048,-3595,-720,-5590,-2651,-2143,-2405,-1418,-3726,-3714,,
Cash from Financing Activity,-167,1726,-1276,1581,-1233,-849,-277,-1710,-1296,-110,,
Net Cash Flow,-13,10,84,-36,370,-324,-113,220,-102,-30,,
Free Cash Flow,922,-648,158,2433,3125,459,-710,178,837,1979,,
CFO/OP,99,96,83,118,122,77,98,84,136,89,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,14,17,30,31,18,19,25,23,27,32,,
Inventory Days,765,743,672,631,585,878,703,670,444,469,,
Days Payable,205,345,193,242,301,313,305,229,247,274,,
Cash Conversion Cycle,575,416,509,420,302,584,423,464,223,227,,
Working Capital Days,22,11,62,5,-21,-1,-27,7,-8,-10,,
ROCE %,20,18,13,15,19,17,9,15,7,10,,
