Item,Indicator,Value,Signal
,SMA (10),23296.5,Sell
,EMA (10),23299.05,Sell
,SMA (20),23847.5,Sell
,EMA (20),23864.01,Sell
,SMA (50),25399.5,Sell
,EMA (50),24712.47,Sell
,SMA (100),25178.2,Sell
,EMA (100),25125.32,Sell
,SMA (200),25512.58,Sell
,EMA (200),25830.43,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),28.54,Buy
,"MACD (12,26,9)",-706.65,Sell
,"Stochastic (14,3,3)",4.13,Buy
,ADX (14),33.52,Buy
,Williams %R (14),-93.07,Buy
,ATR (14),508.03,Neutral
,ROC (12),-9.23,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",30.85,Neutral
