Item,Date,Document
,9 Mar - NJHPS reaches 150 billion units cumulative generation on 09-Mar-2026; commissioned May 2004.,[Announcement under Regulation 30 (LODR)-Press Release / Media Release 9 Mar - NJHPS reaches 150 billion units cumulative generation on 09-Mar-2026; commissioned May 2004.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/551d6b57-700b-4974-b6ec-d7f41c0f0d83.pdf)
,"8 May - Board meeting on May 15, 2026 to approve Q4/FY26 results and consider final dividend.","[Board Meeting Intimation for Prior Intimation Of Board Meeting To, Inter Alia, Consider The Financial Results For The Quarter/Year Ended March 31, 2026 8 May - Board meeting on May 15, 2026 to approve Q4/FY26 results and consider final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/73da0c92-7aa5-4eba-b1c6-b5dee6e0ad7d.pdf)"
,"7 Apr - Regulation 74(5) certificate filed for quarter ended March 31, 2026.","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 7 Apr - Regulation 74(5) certificate filed for quarter ended March 31, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3e992cd9-0fd0-42bd-8d38-3bcdb1104cde.pdf)"
,"5 May - Mohammad Afzal ceased as nominee director of SJVN effective April 30, 2026.","[Announcement under Regulation 30 (LODR)-Cessation 5 May - Mohammad Afzal ceased as nominee director of SJVN effective April 30, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/43507996-ec11-42e0-8422-f7897e5d8b2e.pdf)"
,"30 Apr - Shri Senniappan Marasamy ceased as senior management on April 30, 2026, due to superannuation.","[Announcement under Regulation 30 (LODR)-Cessation 30 Apr - Shri Senniappan Marasamy ceased as senior management on April 30, 2026, due to superannuation.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/dda4a9f6-d834-4947-92cf-8a19fd451749.pdf)"
,"30 Apr - Shri Senniappan Marasamy ceased as senior management on April 30, 2026, due to superannuation.","[Announcement under Regulation 30 (LODR)-Cessation 30 Apr - Shri Senniappan Marasamy ceased as senior management on April 30, 2026, due to superannuation.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/dda4a9f6-d834-4947-92cf-8a19fd451749.pdf)"
,"27 Mar - Rampur 412 MW HPS set record 2,098.03 MU on 26 Mar 2026; design energy 1,878 MU achieved.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 27 Mar - Rampur 412 MW HPS set record 2,098.03 MU on 26 Mar 2026; design energy 1,878 MU achieved.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/eb1d0411-2743-4b66-8bb5-d4289839d4ce.pdf)"
,"27 Feb - Two senior executives (Rajeev Kumar, Chandra Shekhar Yadav) superannuated; ceased Feb 27, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 27 Feb - Two senior executives (Rajeev Kumar, Chandra Shekhar Yadav) superannuated; ceased Feb 27, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f81dc10d-b552-46fa-993d-f16fb7c5ac8f.pdf)"
,26 Feb - Shri Sipan Kumar Garg given additional charge as Director (Finance) from 01.03.2026 for three months.,[Announcement under Regulation 30 (LODR)-Change in Directorate 26 Feb - Shri Sipan Kumar Garg given additional charge as Director (Finance) from 01.03.2026 for three months.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f11795e8-284b-43bd-a543-d92f923e3ff9.pdf)
