Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,741,685,763,640,934,1224,1241,852,1408,943,1988,1278
Expenses,666,611,701,584,856,1157,1147,828,1312,905,1836,1201
Operating Profit,75,74,62,56,77,67,94,24,96,39,152,78
OPM %,10,11,8,9,8,5,8,2.8,7,4.1,8,6
Other Income,32,29,28,29,32,33,30,49,62,40,42,52
Interest,64,61,59,54,49,47,45,31,32,30,44,32
Depreciation,19,20,21,20,23,23,23,24,26,28,28,28
Profit before tax,25,21,11,11,36,29,56,19,99,21,122,69
Tax %,39,29,36,45,28,26,27,27,27,25,25,26
Net Profit,15,15,7,6,26,22,41,14,73,15,92,51
EPS in Rs,1.4,1.41,0.66,0.57,2.44,2.03,3.82,1.27,6.78,1.44,8.59,4.76
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2783,3442,3754,2110,2561,3310,3097,4039,5190,5617,,
Expenses,2263,2769,2639,1435,2028,2941,2820,3744,4880,5253,,
Operating Profit,520,673,1115,675,533,370,277,294,310,364,,
OPM %,19,20,30,32,21,11,9,7,6,6,,
Other Income,50,73,72,81,84,92,121,124,193,196,,
Interest,198,236,682,601,308,249,246,196,137,139,,
Depreciation,54,62,72,79,72,68,78,90,106,111,,
Profit before tax,317,448,433,75,237,145,74,133,260,310,,
Tax %,32,34,35,17,27,28,34,29,26,—,,
Net Profit,217,297,282,62,173,104,49,95,193,231,,
EPS in Rs,20.27,27.76,26.32,5.82,16.19,9.74,4.59,8.86,18.09,21.57,,
Dividend Payout %,31,22,24,53,16,27,58,34,33,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,96,95,95,95,95,95,95,95,107,107,,
Reserves,2548,2675,2134,2336,2333,2328,2400,2419,4454,4613,,
Borrowings,2222,2331,2604,3131,3052,2529,2027,1940,1183,1057,,
Other Liabilities,4027,3924,5907,5448,5729,6578,8054,9228,11461,13721,,
Total Liabilities,8893,9025,10740,11010,11208,11530,12576,13682,17205,19499,,
Fixed Assets,595,610,678,919,903,852,899,946,981,1076,,
CWIP,1,0,0,0,0,0,2,5,24,27,,
Investments,0,112,113,114,114,115,115,115,115,120,,
Other Assets,8298,8302,9949,9976,10191,10564,11560,12615,16085,18275,,
Total Assets,8893,9025,10740,11010,11208,11530,12576,13682,17205,19499,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,354,353,206,294,613,826,1150,647,200,430,,
Cash from Investing Activity,2,-129,-61,-307,-33,38,-237,-475,-1180,-97,,
Cash from Financing Activity,-345,-243,-86,-84,-483,-889,-773,-338,993,-285,,
Net Cash Flow,10,-18,58,-97,96,-25,140,-166,13,48,,
Free Cash Flow,322,294,102,-7,573,873,1034,524,70,224,,
CFO/OP,100,84,44,36,95,165,330,262,122,213,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,37,43,35,35,34,50,17,19,17,19,,
Inventory Days,—,5289,—,—,—,—,10072,—,10343,5650,,
Days Payable,—,788,—,—,—,—,688,—,519,365,,
Cash Conversion Cycle,37,4544,35,35,34,50,9401,19,9841,5305,,
Working Capital Days,344,261,68,101,155,154,67,19,104,35,,
ROCE %,8,10,14,21,12,10,8,7,6,7,,
