Item,Indicator,Value,Signal
,SMA (10),461.29,Buy
,EMA (10),462.89,Buy
,SMA (20),467.79,Buy
,EMA (20),468.07,Buy
,SMA (50),484.4,Sell
,EMA (50),483.92,Sell
,SMA (100),510.24,Sell
,EMA (100),505.62,Sell
,SMA (200),543.08,Sell
,EMA (200),532.11,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),52.53,Neutral
,"MACD (12,26,9)",-7.61,Buy
,"Stochastic (14,3,3)",33.96,Neutral
,ADX (14),12.24,Neutral
,Williams %R (14),-25.13,Neutral
,ATR (14),13.05,Neutral
,ROC (12),2.33,Buy
,Stoch RSI (14),100,Sell
,"UO (7,14,28)",45.17,Neutral
