Item,Indicator,Value,Signal
,SMA (10),1531.35,Buy
,EMA (10),1554.28,Buy
,SMA (20),1500.96,Buy
,EMA (20),1514.57,Buy
,SMA (50),1440,Buy
,EMA (50),1434.87,Buy
,SMA (100),1299.29,Buy
,EMA (100),1308.15,Buy
,SMA (200),1041.54,Buy
,EMA (200),1121.09,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),63.69,Neutral
,"MACD (12,26,9)",46.84,Buy
,"Stochastic (14,3,3)",78.87,Neutral
,ADX (14),22.91,Neutral
,Williams %R (14),-26.44,Neutral
,ATR (14),55.51,High Volatility
,ROC (12),7.81,Buy
,Stoch RSI (14),61.81,Neutral
,"UO (7,14,28)",64.66,Neutral
