Item,Indicator,Value,Signal
,SMA (10),634.03,Buy
,EMA (10),637.32,Buy
,SMA (20),640.39,Buy
,EMA (20),642.33,Buy
,SMA (50),657.69,Sell
,EMA (50),653.45,Sell
,SMA (100),670.52,Sell
,EMA (100),661.43,Sell
,SMA (200),666.99,Sell
,EMA (200),666.15,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),52.82,Neutral
,"MACD (12,26,9)",-7.28,Buy
,"Stochastic (14,3,3)",35.86,Neutral
,ADX (14),14,Neutral
,Williams %R (14),-45.02,Neutral
,ATR (14),15.59,Neutral
,ROC (12),1,Buy
,Stoch RSI (14),100,Sell
,"UO (7,14,28)",40.56,Neutral
