Item,Indicator,Value,Signal
,SMA (10),362.82,Buy
,EMA (10),365.32,Sell
,SMA (20),366.55,Sell
,EMA (20),367.13,Sell
,SMA (50),373.87,Sell
,EMA (50),374.84,Sell
,SMA (100),393.59,Sell
,EMA (100),382.57,Sell
,SMA (200),387.33,Sell
,EMA (200),386.1,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),45.03,Neutral
,"MACD (12,26,9)",-3.18,Buy
,"Stochastic (14,3,3)",66.21,Neutral
,ADX (14),16.92,Neutral
,Williams %R (14),-39.86,Neutral
,ATR (14),6.94,Neutral
,ROC (12),0.18,Buy
,Stoch RSI (14),82.15,Sell
,"UO (7,14,28)",52.1,Neutral
