Item,Indicator,Value,Signal
,SMA (10),554.96,Sell
,EMA (10),548.32,Sell
,SMA (20),548.62,Sell
,EMA (20),543.13,Sell
,SMA (50),515.48,Buy
,EMA (50),518.33,Buy
,SMA (100),474.8,Buy
,EMA (100),490.43,Buy
,SMA (200),449,Buy
,EMA (200),464.54,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),52.19,Neutral
,"MACD (12,26,9)",9.91,Sell
,"Stochastic (14,3,3)",26.68,Neutral
,ADX (14),36.61,Buy
,Williams %R (14),-73.93,Neutral
,ATR (14),18.81,High Volatility
,ROC (12),-1.9,Sell
,Stoch RSI (14),16.41,Buy
,"UO (7,14,28)",48.23,Neutral
