Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4306,4197,4490,4578,4925,4812,5150,5309,5523,5801,6215,6215
Expenses,3744,3728,4039,4047,4434,4321,4813,4763,4978,5216,5632,5667
Operating Profit,562,469,451,531,490,491,337,546,544,585,583,548
OPM %,13,11,10,12,10,10,7,10,10,10,9,9
Other Income,59,609,77,62,71,77,150,72,93,49,108,112
Interest,13,13,15,16,16,15,16,17,14,15,16,16
Depreciation,112,119,115,110,119,127,137,152,164,173,175,183
Profit before tax,496,946,398,467,426,426,334,449,459,445,500,461
Tax %,30,12,31,32,30,34,53,32,34,37,53,36
Net Profit,346,828,274,317,299,280,158,303,302,279,234,294
EPS in Rs,13.77,27.58,9.88,11.73,10.69,10.01,2.4,10.28,9.65,8.57,4.41,8.71
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5000,5773,4750,6083,12447,14964,16890,19465,22847,23754,,
Expenses,4626,5240,4169,5443,10997,13081,14921,17595,20569,21494,,
Operating Profit,374,533,582,641,1450,1883,1969,1870,2279,2259,,
OPM %,7,9,12,11,12,13,12,10,10,10,,
Other Income,55,62,40,26,147,319,787,359,317,362,,
Interest,62,56,34,52,99,58,73,83,79,62,,
Depreciation,154,162,185,251,347,396,465,492,664,695,,
Profit before tax,214,378,403,365,1152,1748,2218,1653,1852,1864,,
Tax %,27,34,22,22,14,24,22,36,40,—,,
Net Profit,156,251,313,286,991,1325,1723,1054,1118,1109,,
EPS in Rs,7.86,12.81,16.31,14.28,39.85,49.48,62.08,34.82,32.9,31.34,,
Dividend Payout %,17,20,21,25,1,7,6,10,11,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,19,19,19,19,19,19,19,19,19,19,,
Reserves,1169,1254,1457,1715,2293,3052,3931,5080,5516,7732,,
Borrowings,851,776,611,414,1972,871,726,896,703,754,,
Other Liabilities,1097,1263,1263,932,4349,4932,5583,7109,9640,12919,,
Total Liabilities,3135,3312,3349,3080,8634,8874,10260,13105,15879,21425,,
Fixed Assets,1306,1358,1429,1515,3426,3324,3588,4417,5210,6232,,
CWIP,34,90,69,58,152,128,191,381,770,895,,
Investments,202,134,132,186,369,542,729,1370,931,1024,,
Other Assets,1593,1730,1719,1321,4687,4880,5752,6938,8969,13274,,
Total Assets,3135,3312,3349,3080,8634,8874,10260,13105,15879,21425,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,383,409,493,596,257,896,1386,675,1185,1161,,
Cash from Investing Activity,316,-181,-196,-246,-80,-79,-850,-1657,-1587,-3953,,
Cash from Financing Activity,-685,-291,-280,-284,304,-921,-75,645,522,2668,,
Net Cash Flow,14,-63,17,66,481,-104,461,-336,120,-124,,
Free Cash Flow,227,182,310,377,112,658,983,-148,-22,-266,,
CFO/OP,104,128,115,123,56,70,87,48,88,85,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,50,51,41,40,74,52,52,59,62,70,,
Inventory Days,101,93,84,75,111,58,50,59,63,70,,
Days Payable,107,117,96,94,224,103,85,92,89,98,,
Cash Conversion Cycle,44,26,29,22,-38,8,17,26,36,41,,
Working Capital Days,4,-4,-3,-2,-88,-30,0,10,24,52,,
ROCE %,26,13,20,21,13,26,32,26,22,17,,
