Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,682,612,898,784,753,671,940,809,773,764,1073,929
Expenses,546,510,699,643,620,565,730,666,635,669,838,757
Operating Profit,136,102,199,141,133,107,210,142,138,96,235,172
OPM %,20,17,22,18,18,16,22,18,18,13,22,19
Other Income,10,11,11,12,12,13,14,10,10,6,3,10
Interest,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,21,21,22,22,21,21,21,21,27,29,30,31
Profit before tax,124,91,187,130,124,98,202,130,121,72,207,150
Tax %,25,26,24,26,27,24,7,20,26,31,25,23
Net Profit,93,68,141,96,90,74,187,104,89,50,155,115
EPS in Rs,12.37,8.98,18.8,12.8,11.96,9.88,24.84,13.86,11.89,6.63,20.58,15.31
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1233,1664,1618,1411,2203,2807,2910,3148,3419,3540,,
Expenses,1070,1375,1254,1159,1692,2246,2337,2556,2807,2898,,
Operating Profit,163,289,363,252,511,560,572,592,612,642,,
OPM %,13,17,22,18,23,20,20,19,18,18,,
Other Income,21,16,23,20,14,53,41,50,28,28,,
Interest,1,2,3,1,2,3,4,4,4,3,,
Depreciation,43,79,77,75,84,87,85,85,106,116,,
Profit before tax,140,224,306,195,438,524,524,553,530,550,,
Tax %,34,34,20,27,25,25,25,19,25,—,,
Net Profit,92,149,246,143,327,391,392,447,398,409,,
EPS in Rs,13.53,19.76,32.72,19.04,43.49,51.95,52.13,59.48,52.96,54.41,,
Dividend Payout %,7,5,153,8,3,3,5,61,5,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,68,68,75,75,75,75,75,75,75,75,,
Reserves,550,634,1266,1501,1268,1582,1962,2342,2770,2898,,
Borrowings,8,16,23,24,35,32,31,25,17,15,,
Other Liabilities,251,261,411,377,510,505,489,545,564,763,,
Total Liabilities,877,979,1775,1977,1888,2194,2557,2988,3425,3751,,
Fixed Assets,231,251,795,748,818,860,843,853,809,1446,,
CWIP,58,54,64,157,97,50,53,104,592,101,,
Investments,91,55,176,13,0,99,236,161,117,180,,
Other Assets,498,619,741,1060,973,1185,1424,1870,1908,2025,,
Total Assets,877,979,1775,1977,1888,2194,2557,2988,3425,3751,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,164,39,249,357,189,33,341,340,387,437,,
Cash from Investing Activity,-126,-64,-106,-110,-67,-75,-45,-228,-337,-402,,
Cash from Financing Activity,-5,-2,-23,-17,-379,-15,-15,-17,-27,-279,,
Net Cash Flow,34,-27,119,230,-257,-57,281,94,23,-243,,
Free Cash Flow,34,-32,131,237,111,-47,280,81,14,140,,
CFO/OP,129,47,112,121,93,29,88,82,89,94,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,66,66,66,66,96,89,75,82,81,85,,
Inventory Days,111,121,125,124,171,171,125,142,124,136,,
Days Payable,92,97,92,91,156,100,76,82,76,105,,
Cash Conversion Cycle,85,90,99,99,112,160,124,142,129,116,,
Working Capital Days,70,96,80,74,86,117,102,111,107,110,,
ROCE %,24,21,22,21,13,29,28,23,21,18,,
