Item,Indicator,Value,Signal
,SMA (10),3171.44,Buy
,EMA (10),3194.09,Buy
,SMA (20),3174.54,Buy
,EMA (20),3186.78,Buy
,SMA (50),3185.4,Buy
,EMA (50),3232.54,Buy
,SMA (100),3376.16,Sell
,EMA (100),3280.11,Buy
,SMA (200),3277.79,Buy
,EMA (200),3253.09,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),60.39,Neutral
,"MACD (12,26,9)",-2.61,Buy
,"Stochastic (14,3,3)",84.26,Sell
,ADX (14),18.8,Neutral
,Williams %R (14),-7.41,Sell
,ATR (14),87.87,Neutral
,ROC (12),6.57,Buy
,Stoch RSI (14),100,Sell
,"UO (7,14,28)",65.53,Neutral
