Item,Indicator,Value,Signal
,SMA (10),854.8,Sell
,EMA (10),856.53,Sell
,SMA (20),845.03,Sell
,EMA (20),850.65,Sell
,SMA (50),843.4,Sell
,EMA (50),843.93,Sell
,SMA (100),836.32,Buy
,EMA (100),829.96,Buy
,SMA (200),795.86,Buy
,EMA (200),818.53,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),48.14,Neutral
,"MACD (12,26,9)",6.03,Buy
,"Stochastic (14,3,3)",49.26,Neutral
,ADX (14),16.2,Neutral
,Williams %R (14),-69.77,Neutral
,ATR (14),28.36,High Volatility
,ROC (12),2.03,Buy
,Stoch RSI (14),23.4,Neutral
,"UO (7,14,28)",39.5,Neutral
