Item,Date,Document
,2026-09-03,[Allotment Of Fully Paid Equity Shares Against The Exercise Of Stock Option Granted Under TFS ESOP Plan](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b66109d2-e0c0-4f33-bb01-63d164f9076d.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bde1a932-2388-4c5e-94de-ea52690f5de6.pdf)
,2026-08-26,[Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cfeeba0b-631f-467a-8318-6a7ab8bbb903.pdf)
,2026-08-25,[Notice Of 19Th AGM And Annual Report For The Financial Year 2025-26.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f094766e-22bd-4376-b4cc-88535e377ccd.pdf)
,2026-08-25,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5f628332-3f39-48bf-995f-7bdde194d2cb.pdf)
,2026-08-25,[Intimation Of Record Date For Final Dividend For The Financial Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1797df34-729b-4bd5-ac96-89fd03b672da.pdf)
,2026-08-25,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bd675e3f-20be-404e-a023-b477ad605b17.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=59cb48f2-40c5-46f6-9a1a-ebefc565d275.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6507e7c9-dd03-43ee-8910-a066757b48dd.pdf)
,2026-08-13,[Board Meeting Outcome for Board Meeting Held On August 13 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6db52e5d-ac7e-43f1-99ca-8f7289f6fe3c.pdf)
,Date,Document
,---,---
,2026-08-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=744e8357-0d54-4743-8f93-1d0c415d04a1.pdf)
,2026-06-03,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ef0c8a2-3651-42f2-a0da-eb97edb2e273.pdf)
,2026-02-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a34eae52-037f-4a76-aa35-15db70915fed.pdf)
,2025-11-20,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1ea6a41-2b55-4a4a-9da8-019051bf68c5.pdf)
,2025-08-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=082359c9-2f99-4f8d-9bb0-173e76b3da4d.pdf)
,Date,Document
,---,---
,2026-08-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d4a4a48-5cde-44fc-82b5-ab3bc9215072.pdf)
,2026-05-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5f8b7e4a-27b4-40f8-ad00-dbba714a0adf.pdf)
,2026-02-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bd8a09c1-9a3c-4599-809b-cdfaecebe4c1.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05e7e379-8441-4454-92af-18e4a0950b5b.pdf)
,2025-08-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ae9066d-3c29-4902-b9ed-35003ca168d2.pdf)
,Date,Document
,---,---
,2026-08-13,[Un-Audited Financial Results For The Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b281a948-e2b1-4f70-a119-829acadb7c2c.pdf)
,2026-05-25,[Audited Financial Results For The Quarter And Financial Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6b51540-8e4e-4203-9a81-185ece1aed35.pdf)
,2026-02-12,[Considered And Approve Un-Audited Financial Results (Standalone And Consolidated) For The Quarter Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60db1576-511c-4159-a30e-a3a282bc3087.pdf)
,2025-11-12,[Un-Audited Financial Results (Standalone And Consolidated) For The Quarter And Half Year Ended September 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0a0ebea1-d817-41c7-b963-a53f3214264c.pdf)
,2025-08-11,[Un-Audited Financial Results For Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11df930b-5900-4a43-92ec-599a0e038808.pdf)
,Date,Document
,---,---
,2026-08-13,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ba121108-3a76-43d8-9c99-c583ec2b587a.pdf)
,2026-05-25,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3246bf3a-9a2f-47c8-8b12-c40265217d3e.pdf)
,2026-02-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf1d8940-9da4-4fa1-8c10-5bda465af5b0.pdf)
,2025-11-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46e587be-6ef1-4b11-9c3d-4a8da970ea57.pdf)
,2025-08-11,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a2e61f08-9559-4758-b2ef-6d7ef7e6f392.pdf)
,Date,Document
,---,---
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/b1ea6a41-2b55-4a4a-9da8-019051bf68c5.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3246bf3a-9a2f-47c8-8b12-c40265217d3e.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/3246bf3a-9a2f-47c8-8b12-c40265217d3e.pdf)
,Jun 2026,[Concall - Jun 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1ef0c8a2-3651-42f2-a0da-eb97edb2e273.pdf)
,Aug 2025,[Concall - Aug 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/082359c9-2f99-4f8d-9bb0-173e76b3da4d.pdf)
,Date,Document
,---,---
,25 Mar - Trading window closed from 1 April 2026 until 48 hours after audited Q4/FY2026 results.,[Closure of Trading Window 25 Mar - Trading window closed from 1 April 2026 until 48 hours after audited Q4/FY2026 results.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7ed7c8d-ab3b-48e8-9ff0-fc1156b594f1.pdf)
,"14 Feb - Copy of Newspaper Advertisement of Un-audited Financial Results (Standalone and Consolidated) for the quarter ended December 31, 2025","[Announcement under Regulation 30 (LODR)-Newspaper Publication 14 Feb - Copy of Newspaper Advertisement of Un-audited Financial Results (Standalone and Consolidated) for the quarter ended December 31, 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4d29ee7a-5931-40eb-b7aa-fa2682b0af5f.pdf)"
,13 Feb - Audio of Q3 FY2025-26 earnings call (13 Feb 2026) uploaded to company's investor website.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 13 Feb - Audio of Q3 FY2025-26 earnings call (13 Feb 2026) uploaded to company's investor website.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/bd8a09c1-9a3c-4599-809b-cdfaecebe4c1.pdf)
,13 Apr - Delhi High Court set aside 2022 arbitral award in company’s favour; execution application disposed.,[Regulation 30 - Update 13 Apr - Delhi High Court set aside 2022 arbitral award in company’s favour; execution application disposed.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7b284da6-4929-4c6e-bc08-19754161499e.pdf)
,12 Feb - Investor Presentation on Q3 & 9MFY26 Financial Results,[Announcement under Regulation 30 (LODR)-Investor Presentation 12 Feb - Investor Presentation on Q3 & 9MFY26 Financial Results](https://www.bseindia.com/xml-data/corpfiling/AttachHis/cf1d8940-9da4-4fa1-8c10-5bda465af5b0.pdf)
,—,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 18 Mar](https://www.bseindia.com/xml-data/corpfiling/AttachHis/635502d7-81e1-4949-ab0e-15da209e4c1a.pdf)
,—,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript 19 Feb](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a34eae52-037f-4a76-aa35-15db70915fed.pdf)
,—,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 18 Feb](https://www.bseindia.com/xml-data/corpfiling/AttachHis/204e14ff-c66c-493e-9540-cb61a58c8138.pdf)
