Item,Indicator,Value,Signal
,SMA (10),571.58,Sell
,EMA (10),571.51,Sell
,SMA (20),575.39,Sell
,EMA (20),578.52,Sell
,SMA (50),600,Sell
,EMA (50),595.72,Sell
,SMA (100),621.86,Sell
,EMA (100),595,Sell
,SMA (200),561.06,Buy
,EMA (200),580.23,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),43.41,Neutral
,"MACD (12,26,9)",-10.28,Buy
,"Stochastic (14,3,3)",17.28,Buy
,ADX (14),15.21,Neutral
,Williams %R (14),-66.73,Neutral
,ATR (14),18.43,High Volatility
,ROC (12),-0.83,Sell
,Stoch RSI (14),71.36,Neutral
,"UO (7,14,28)",45.42,Neutral
