Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,9933,10114,9942,10314,11302,11035,11542,12210,14051,14756,15053,16296
Expenses,8588,8639,8487,8884,9678,9402,9638,10407,11941,12488,12881,13952
Operating Profit,1345,1475,1455,1431,1624,1633,1904,1803,2110,2267,2172,2343
OPM %,14,15,15,14,14,15,16,15,15,15,14,14
Other Income,51,12,-34,48,32,70,-57,40,-14,-60,7,158
Interest,483,494,511,500,509,536,551,551,552,561,566,602
Depreciation,237,242,263,241,259,258,292,315,320,323,315,354
Profit before tax,676,750,647,738,888,908,1004,977,1223,1323,1298,1545
Tax %,38,32,36,34,34,33,31,34,32,33,37,32
Net Profit,416,510,412,485,588,609,698,643,833,891,820,1058
EPS in Rs,8.13,10.08,8.15,9.7,11.8,11.91,13.64,12.84,16.74,17.71,16.24,21.46
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,16340,20160,18849,19421,24355,31974,38779,44089,56070,60155,,
Expenses,14769,17997,16585,17189,21601,27947,33344,37501,47717,51262,,
Operating Profit,1571,2163,2264,2232,2755,4027,5435,6588,8352,8893,,
OPM %,10,11,12,11,11,13,14,15,15,15,,
Other Income,71,25,12,36,-5,136,131,86,-28,90,,
Interest,338,663,855,881,940,1368,1917,2093,2230,2281,,
Depreciation,374,442,556,565,743,859,956,1046,1273,1312,,
Profit before tax,931,1083,865,822,1067,1936,2693,3535,4822,5390,,
Tax %,29,33,25,26,31,32,34,33,34,—,,
Net Profit,665,725,647,608,731,1309,1779,2380,3186,3601,,
EPS in Rs,13.73,14.83,13.15,12.51,15.93,27.97,35.5,47.06,63.53,72.15,,
Dividend Payout %,24,24,27,28,24,18,23,21,19,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,48,48,48,48,48,48,48,48,48,48,,
Reserves,2169,2630,3123,3235,3779,4352,5457,6736,8456,9517,,
Borrowings,1311,6928,9298,11591,12179,15827,22376,26006,28609,32791,,
Other Liabilities,2601,3586,4228,4399,5859,6692,7144,9235,10539,13790,,
Total Liabilities,6128,13190,16696,19272,21865,26919,35025,42024,47651,56146,,
Fixed Assets,2362,3094,3367,3811,4221,5975,5748,5891,7644,8634,,
CWIP,64,313,745,1006,1041,552,743,1033,1465,2072,,
Investments,1155,421,440,371,468,605,967,1123,1247,1147,,
Other Assets,2547,9362,12145,14085,16135,19788,27566,33977,37294,44293,,
Total Assets,6128,13190,16696,19272,21865,26919,35025,42024,47651,56146,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,689,354,-918,373,1151,-1575,-4405,-1253,3503,1867,,
Cash from Investing Activity,-709,-1095,-1104,-1090,-882,-1471,-1308,-1481,-2899,-2964,,
Cash from Financing Activity,-59,897,2210,1619,264,2918,6118,3239,1155,909,,
Net Cash Flow,-79,156,188,902,532,-128,406,505,1759,-189,,
Free Cash Flow,65,-727,-2048,-617,227,-2531,-5724,-2363,1044,-1280,,
CFO/OP,95,43,-28,27,63,-44,-94,-5,71,42,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,21,24,28,28,19,18,14,17,14,17,,
Inventory Days,47,34,34,35,39,37,34,34,33,26,,
Days Payable,80,86,83,94,121,105,89,100,103,103,,
Cash Conversion Cycle,-12,-28,-21,-31,-63,-50,-41,-49,-56,-60,,
Working Capital Days,-24,-37,-1,-27,-38,-40,-49,-20,-17,-37,,
ROCE %,22,19,16,13,11,11,13,15,15,17,,
