Item,Indicator,Value,Signal
,SMA (10),4174.02,Sell
,EMA (10),4180.04,Sell
,SMA (20),4279.28,Sell
,EMA (20),4216.19,Sell
,SMA (50),4108.57,Buy
,EMA (50),4101.26,Buy
,SMA (100),3785.15,Buy
,EMA (100),3923.35,Buy
,SMA (200),3727.51,Buy
,EMA (200),3702.78,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),42.04,Neutral
,"MACD (12,26,9)",-13.74,Sell
,"Stochastic (14,3,3)",16.26,Buy
,ADX (14),32.67,Buy
,Williams %R (14),-85.25,Buy
,ATR (14),100.87,Neutral
,ROC (12),-7.59,Sell
,Stoch RSI (14),1.39,Buy
,"UO (7,14,28)",53.17,Neutral
