Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,16012,16740,20419,18819,16294,17779,23063,21275,19607,21830,25799,24648
Expenses,13461,13485,16305,15801,14269,14885,18456,16869,16518,17919,20201,19633
Operating Profit,2551,3255,4114,3017,2026,2893,4608,4406,3089,3911,5599,5015
OPM %,16,19,20,16,12,16,20,21,16,18,22,20
Other Income,171,146,73,83,226,247,93,142,174,46,77,118
Interest,234,262,261,326,393,457,475,433,459,492,487,453
Depreciation,798,783,815,918,980,993,1125,1107,1148,1182,1208,1201
Profit before tax,1690,2355,3111,1857,879,1691,3101,3008,1656,2283,3981,3480
Tax %,24,25,27,20,19,19,20,26,25,24,25,25
Net Profit,1280,1775,2259,1493,708,1363,2475,2221,1238,1729,3000,2604
EPS in Rs,44.39,61.55,78.22,51.78,24.34,47.09,84.23,75.54,41.79,58.55,101.22,88.21
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,30979,41462,42430,44726,52599,63240,70908,75955,88512,91884,,
Expenses,24834,34115,33184,33158,41084,52620,57930,63408,71507,74270,,
Operating Profit,6145,7347,9246,11568,11514,10620,12979,12547,17004,17614,,
OPM %,20,18,22,26,22,17,18,17,19,19,,
Other Income,242,350,651,619,669,507,557,647,439,416,,
Interest,1238,1778,1992,1486,945,823,968,1651,1872,1891,,
Depreciation,1848,2451,2723,2700,2715,2888,3145,4015,4644,4738,,
Profit before tax,3301,3468,5183,8001,8524,7416,9422,7528,10927,11400,,
Tax %,33,31,-11,32,14,32,26,20,25,—,,
Net Profit,2224,2400,5751,5462,7334,5073,7004,6040,8188,8571,,
EPS in Rs,80.92,87.51,199.4,189.26,254.42,175.41,242.65,204.94,277.1,289.77,,
Dividend Payout %,13,13,7,20,15,22,29,38,87,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,275,275,275,289,289,289,289,289,295,295,,
Reserves,24117,26107,33476,38755,43886,50147,54036,59939,70412,76329,,
Borrowings,8474,19480,25337,23019,21719,11299,11058,11403,24102,23755,,
Other Liabilities,9343,11280,17438,17151,20282,22077,25998,29167,38823,40936,,
Total Liabilities,42209,57141,76525,79214,86176,83811,91380,100797,133632,141315,,
Fixed Assets,25904,39715,56645,57151,55412,55488,59579,62878,94564,98794,,
CWIP,921,1511,1153,920,1687,4785,4040,6811,6234,8742,,
Investments,6691,5447,2921,5929,12178,6336,7297,8249,5156,6740,,
Other Assets,8693,10468,15806,15215,16900,17203,20464,22859,27677,27040,,
Total Assets,42209,57141,76525,79214,86176,83811,91380,100797,133632,141315,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,5005,3888,5956,8972,12500,9283,9069,10898,10673,15316,,
Cash from Investing Activity,-2501,1866,1165,-4192,-8856,2257,-7188,-8789,-15836,-9475,,
Cash from Financing Activity,-2535,-5735,-6757,-5076,-4356,-12498,-1631,-1926,5076,-5954,,
Net Cash Flow,-31,18,364,-295,-712,-958,250,183,-86,-113,,
Free Cash Flow,3637,2005,4308,7286,10662,3677,2963,2013,1723,5805,,
CFO/OP,110,77,91,107,119,94,96,97,95,98,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,25,26,25,20,21,21,22,22,28,25,,
Inventory Days,195,226,214,234,207,256,248,255,255,206,,
Days Payable,150,165,165,188,234,269,271,260,248,217,,
Cash Conversion Cycle,70,87,74,66,-6,9,0,17,35,13,,
Working Capital Days,-38,-50,-48,-60,-83,-56,-56,-52,-64,-57,,
ROCE %,14,12,10,12,15,14,13,15,11,13,,
