Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,24732,25521,26510,26527,26887,26720,27869,27099,26205,26819,26676,27427
Expenses,7962,8012,9365,9367,8686,8096,9673,8844,9056,7994,8744,8388
Financing Profit,1271,1273,179,156,480,1274,-49,400,-98,1455,927,1834
Financing Margin %,5,5,1,1,2,5,0,1,0,5,3,7
Other Income,4221,4281,5102,4799,5926,4614,6223,4869,5550,5183,5999,5233
Interest,15498,16236,16966,17004,17720,17350,18245,17855,17247,17370,17005,17206
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,5492,5554,5281,4954,6406,5889,6175,5269,5453,6638,6926,7067
Tax %,35,35,37,27,26,22,19,21,21,24,23,24
Net Profit,3572,3625,3328,3642,4751,4623,5011,4428,4426,5073,5504,5642
EPS in Rs,4.82,4.89,4.36,4.77,6.22,6.06,6.56,5.8,5.8,6.65,7.21,7.39
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,32952,34314,37479,69311,68230,81163,100376,106600,106799,107127,,
Expenses,21181,19019,21166,36270,32264,36155,32422,34738,33434,34181,,
Financing Profit,-11700,-8601,-9523,-11071,-4213,-3024,4590,2946,3888,4118,,
Financing Margin %,-36,-25,-25,-16,-6,-4,5,3,4,4,,
Other Income,5462,5042,5789,14307,13524,15915,17813,21562,21601,21965,,
Interest,23471,23896,25837,44112,40178,48033,63364,68916,69477,68828,,
Depreciation,368,374,417,908,745,745,896,1084,1204,0,,
Profit before tax,-6607,-3933,-4151,2327,8566,12147,21507,23424,24284,26083,,
Tax %,-21,-25,-27,-22,39,31,36,23,23,—,,
Net Profit,-5212,-2922,-3121,2863,5265,8512,13797,18027,19430,20644,,
EPS in Rs,-44.61,-16.58,-9.12,4.47,7.7,12.45,18.07,23.62,25.45,27.05,,
Dividend Payout %,0,0,0,0,25,24,20,20,20,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,687,1169,1763,3423,6407,6835,6835,7634,7634,7634,,
Reserves,23406,24083,25073,30567,58331,64026,71969,89964,106200,125918,,
Borrowing,41226,45680,43276,52714,51922,51245,42737,26974,64992,77798,,
Deposits,377195,410288,417505,452436,925654,1034368,1120322,1224593,1274789,1309759,,
Other Liabilities,13167,9900,10964,16369,40063,37292,46495,52831,57714,66395,,
Total Liabilities,455681,491120,498581,555509,1082377,1193766,1288357,1401996,1511329,1587503,,
Fixed Assets,3896,3824,3743,4734,7303,7171,8826,9224,9765,11596,,
CWIP,21,34,44,54,63,37,22,36,59,64,,
Investments,113441,125485,128391,154251,339059,351839,343727,343953,361903,343623,,
Other Assets,338322,361777,366402,396470,735952,834718,935782,1048783,1139602,1232220,,
Total Assets,455681,491120,498581,555509,1082377,1193766,1288357,1401996,1511329,1587503,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-6624,6097,-7778,-7681,20527,36339,6056,19930,-204,-358,,
Cash from Investing Activity,-280,-315,-297,-377,-601,-558,-2561,-1394,-19,-71,,
Cash from Financing Activity,10194,10792,1758,20144,-18861,-786,-10654,-11489,338,77,,
Net Cash Flow,3289,16574,-6317,12086,1066,34995,-7159,7047,115,-351,,
Free Cash Flow,-6911,5782,-8076,-8058,19926,35897,3673,18624,-220,-388,,
CFO/OP,-27,74,-45,-55,63,103,21,34,0,0,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,2,-21,-11,-10,6,8,11,16,17,16,,
