Item,Date,Document
,2026-09-09,[Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=84ad88ff-4a06-463a-abae-2bc46e13f022.pdf)
,2026-09-08,[Board Meeting Intimation for Board Meeting Scheduled To Be Held On Monday September 14 2026 To Consider And Approve The Raising Of Funds Through Issue Of Listed Non-Convertible Debentures In One Or More Tranches Subject To Requisite Approvals.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ec102801-3e2a-4829-a1d4-08036f9d77cb.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e16a6e86-cba2-4474-b683-396abcd8a886.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b1c0013-3234-4ca5-93a4-8a70883aac3c.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce461e89-1621-4461-84fd-9c5b848b6b08.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=057b3e98-8633-4459-a0f1-ce7aaa578060.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b223b13f-9f6f-4713-9d9c-2208f71d93f2.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=18b81f50-4e2c-460c-93f9-e3c6462f0bd6.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb581719-b94a-44f7-875c-7decaf7759f5.pdf)
,2026-09-03,[Disclosure Under Regulation 30 Read With Sub-Para 20 Of Para A Of Part A Of Schedule III Of SEBI (Listing Obligations & Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c11fc95a-97d1-43ce-aad4-2773b58ee8aa.pdf)
,Date,Document
,---,---
,2026-08-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bde2bdb1-2ef3-45ab-9c5c-886371b1c6dd.pdf)
,2026-05-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e74dee4a-934d-42b9-96b2-5e15565efbc0.pdf)
,2026-02-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0f8fbba2-42e8-46d8-9bd4-b30f42ff3bca.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3daf9ee0-08a6-4164-b8fb-c2aeeafb5057.pdf)
,2025-08-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab65c3b5-b454-42fc-ad23-8a70a27771a2.pdf)
,2025-05-27,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca3d441e-a6d3-48fd-ac34-9f4266364b5b.pdf)
,2025-02-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1af372b-7f0c-43f3-9dd7-23866ed9ffeb.pdf)
,2024-11-16,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4b63cc22-514c-456c-834c-b71518c76476.pdf)
,2024-08-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55bf306c-5a3f-4c84-9f58-796fe815ba11.pdf)
,2024-05-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=92ebac31-56b3-44bc-a9bb-2a10a6013a51.pdf)
,Date,Document
,---,---
,2026-08-04,[Financial Results For Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9747ca93-d274-4719-a35c-a9509679936b.pdf)
,2026-05-16,[Outcome Of Board Meeting Held On May 16 2026- Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd1a2ba7-7439-4ab8-9ced-550030c087c3.pdf)
,2026-02-05,[Financial Results For The Quarter And Nine Months Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5f7c4f5-5ef1-4519-b019-5125d014842e.pdf)
,2025-11-07,[Financial Results For The Quarter And Half Year Ended September 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fd83411b-f599-4840-9768-13b994b005d3.pdf)
,2025-08-06,[Unaudited Financial Results For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ef07569-ed11-4e55-8b48-6fe673cc42b2.pdf)
