Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3621,3523,3794,3818,4245,4184,4528,4489,4814,5018,5336,5557
Expenses,3220,3143,3320,3410,3762,3727,4002,3946,4262,4465,4734,4985
Operating Profit,402,380,474,408,482,457,527,543,552,554,603,572
OPM %,11,11,12,11,11,11,12,12,11,11,11,10
Other Income,62,52,94,48,59,49,62,59,76,50,70,54
Interest,27,29,32,36,46,47,41,44,45,53,45,46
Depreciation,125,133,149,142,151,158,165,159,173,179,192,177
Profit before tax,311,270,387,277,345,301,384,399,409,372,436,403
Tax %,24,24,22,24,23,15,25,23,21,19,19,22
Net Profit,238,205,302,211,266,254,289,309,323,300,352,316
EPS in Rs,3.93,3.37,5.01,3.46,4.27,4.05,4.64,5.06,5.27,4.79,5.64,5.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4471,5908,6222,6374,8313,11236,14031,16775,19658,20725,,
Expenses,3935,5182,5549,5649,7428,9995,12446,14901,17406,18446,,
Operating Profit,535,726,673,725,885,1242,1585,1874,2251,2280,,
OPM %,12,12,11,11,11,11,11,11,11,11,,
Other Income,70,26,5,49,128,149,246,218,256,250,,
Interest,35,63,94,74,62,70,113,170,187,189,,
Depreciation,165,234,340,375,392,430,526,615,704,721,,
Profit before tax,405,455,244,325,559,891,1192,1307,1616,1620,,
Tax %,24,29,28,31,26,21,22,22,21,—,,
Net Profit,331,339,188,248,413,700,925,1021,1284,1291,,
EPS in Rs,5.73,5.25,2.85,3.8,6.23,11.41,15.33,16.42,20.73,20.82,,
Dividend Payout %,8,10,7,11,12,13,13,14,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,16,17,52,52,54,57,115,115,115,115,,
Reserves,1044,1374,1652,1809,2202,3381,4041,4828,5612,6714,,
Borrowings,510,614,1083,1317,1159,948,1395,1706,2473,2740,,
Other Liabilities,829,1360,1444,2403,2562,2411,2716,3235,3530,4129,,
Total Liabilities,2398,3365,4231,5581,5977,6798,8267,9884,11730,13698,,
Fixed Assets,885,1350,1861,2674,2797,2805,3316,3931,4749,5658,,
CWIP,117,211,150,360,134,347,293,216,730,746,,
Investments,111,155,356,398,531,607,869,951,848,951,,
Other Assets,1285,1649,1864,2148,2515,3040,3789,4786,5403,6343,,
Total Assets,2398,3365,4231,5581,5977,6798,8267,9884,11730,13698,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,335,364,414,1049,343,383,803,979,1071,1720,,
Cash from Investing Activity,-267,-640,-815,-810,-361,-697,-1185,-951,-1479,-1651,,
Cash from Financing Activity,253,44,368,-96,-40,311,301,90,365,10,,
Net Cash Flow,320,-232,-33,143,-58,-3,-81,119,-43,79,,
Free Cash Flow,95,-131,-248,457,55,-182,-146,-54,-572,204,,
CFO/OP,104,84,73,173,59,59,82,79,75,92,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,54,64,56,51,69,60,56,54,54,50,,
Inventory Days,41,55,57,58,70,72,67,66,58,62,,
Days Payable,84,105,80,107,120,98,86,80,73,75,,
Cash Conversion Cycle,11,14,32,2,18,35,37,39,39,37,,
Working Capital Days,-11,0,9,-38,-20,16,14,15,18,12,,
ROCE %,19,21,20,11,11,14,18,20,19,20,,
