Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,10170,9887,14078,9067,11090,10907,15573,9216,12019,12269,18335,10181
Expenses,9049,9820,12230,7998,9873,9229,12409,7820,10072,10033,14854,8814
Operating Profit,1121,67,1848,1069,1217,1678,3164,1396,1947,2236,3481,1367
OPM %,11,0.7,13,12,11,15,20,15,16,18,19,13
Other Income,18,134,66,49,103,94,-168,152,392,36,162,208
Interest,871,1191,1090,913,1070,730,914,1007,784,774,836,852
Depreciation,657,676,794,660,697,688,705,731,771,827,915,832
Profit before tax,-389,-1666,30,-455,-447,354,1377,-190,784,671,1892,-109
Tax %,-25,-4,367,16,31,-141,22,-7,22,27,32,-33
Net Profit,-293,-1607,-80,-527,-585,853,1079,-176,612,490,1294,-73
EPS in Rs,-2.24,-14.41,0.47,-4.55,-5.25,9.81,10.61,-1.04,6.56,4.7,12.57,0.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,17378,21837,35756,38694,46240,53576,43098,46637,51839,52804,,
Expenses,13966,18024,28984,30342,36711,43380,38801,39509,42761,43773,,
Operating Profit,3412,3813,6772,8352,9529,10196,4297,7128,9078,9031,,
OPM %,20,17,19,22,21,19,10,15,18,17,,
Other Income,351,-197,-515,62,91,464,231,78,724,798,,
Interest,783,963,1481,2060,2295,2963,3852,3627,3401,3246,,
Depreciation,675,880,2012,2173,2359,2547,2763,2750,3244,3345,,
Profit before tax,2305,1773,2764,4181,4966,5150,-2087,829,3157,3238,,
Tax %,12,11,21,16,11,14,-10,1,30,—,,
Net Profit,2030,1575,2178,3495,4437,4414,-1878,820,2220,2323,,
EPS in Rs,23.57,17.35,20.66,33.4,42.18,42.28,-14.21,10.62,22.78,23.95,,
Dividend Payout %,20,27,26,27,21,21,-6,53,26,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,101,102,102,153,153,153,150,150,159,169,,
Reserves,7214,9067,14613,19129,20734,24508,26708,24657,29054,34527,,
Borrowings,6443,6638,29139,29388,24519,26746,23939,29754,25099,23576,,
Other Liabilities,6454,7148,18581,19758,23359,29196,35318,30579,31700,34847,,
Total Liabilities,20212,22955,62435,68428,68765,80603,86115,85140,86012,93119,,
Fixed Assets,4071,4437,32149,35321,34765,36193,38713,39056,39084,42153,,
CWIP,792,1319,1855,2073,2117,2501,2818,2965,2546,3147,,
Investments,378,1034,708,558,618,1922,1615,2154,2328,2666,,
Other Assets,14971,16165,27723,30476,31265,39987,42969,40965,42054,45153,,
Total Assets,20212,22955,62435,68428,68765,80603,86115,85140,86012,93119,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2585,2839,2356,8739,7212,6496,7751,2321,10151,7855,,
Cash from Investing Activity,-1022,-2059,-31282,-2666,-2426,-3575,-1354,-2509,-1823,-1475,,
Cash from Financing Activity,140,-801,28893,-2175,-6713,-1921,-6227,164,-4793,-9883,,
Net Cash Flow,1703,-21,-33,3898,-1927,1000,170,-24,3535,-3503,,
Free Cash Flow,1382,1435,803,6804,5147,3931,5462,367,8896,5502,,
CFO/OP,99,90,71,141,95,79,88,81,156,93,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,127,127,195,121,115,121,124,138,121,126,,
Inventory Days,194,204,306,153,180,216,187,198,155,179,,
Days Payable,228,255,330,199,244,274,236,196,164,169,,
Cash Conversion Cycle,93,76,171,75,51,64,76,141,113,135,,
Working Capital Days,84,94,127,59,52,36,46,52,9,5,,
ROCE %,22,21,10,10,13,14,14,3,8,10,,
