Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,785,797,829,826,891,861,896,887,908,917,979,1033
Expenses,640,640,678,672,730,718,757,743,735,741,768,825
Operating Profit,144,157,152,154,161,143,140,145,173,176,212,208
OPM %,18,20,18,19,18,17,16,16,19,19,22,20
Other Income,25,8,14,9,11,9,28,20,10,-5,21,14
Interest,6,6,7,7,8,9,7,6,5,5,4,4
Depreciation,18,19,23,22,23,26,28,29,28,29,31,34
Profit before tax,144,140,136,135,141,118,133,130,150,138,197,184
Tax %,24,23,22,23,23,22,24,22,27,22,25,23
Net Profit,110,108,106,104,109,92,101,101,110,108,148,142
EPS in Rs,3.59,3.53,3.49,3.42,3.6,3.04,3.31,3.31,3.6,3.53,4.85,4.66
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2066,2488,2154,2097,2688,3268,3225,3474,3691,3837,,
Expenses,2253,2512,1922,1814,2304,2754,2627,2877,2986,3068,,
Operating Profit,-188,-24,232,284,384,513,599,597,705,768,,
OPM %,-9,-1,11,14,14,16,19,17,19,20,,
Other Income,77,17,537,24,75,40,53,57,46,39,,
Interest,92,114,74,57,42,30,25,30,20,17,,
Depreciation,60,61,64,68,70,67,77,98,116,121,,
Profit before tax,-264,-181,630,183,346,455,550,527,615,669,,
Tax %,2,-126,33,20,16,23,23,23,24,—,,
Net Profit,-268,49,421,152,291,351,424,406,466,508,,
EPS in Rs,-8.9,1.57,13.74,4.91,9.56,11.49,13.91,13.37,15.29,16.64,,
Dividend Payout %,0,0,0,0,21,22,20,22,25,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,31,31,31,31,31,31,31,31,31,31,,
Reserves,914,697,751,1197,1373,1663,2000,2349,2721,3271,,
Borrowings,4364,4073,3565,620,530,411,417,364,417,229,,
Other Liabilities,2423,2646,2645,696,649,625,627,570,563,672,,
Total Liabilities,7731,7445,6992,2544,2582,2730,3075,3313,3731,4202,,
Fixed Assets,5031,4862,935,956,932,913,952,1153,1406,1625,,
CWIP,121,113,13,33,45,38,139,166,118,89,,
Investments,37,39,42,44,48,56,66,56,68,79,,
Other Assets,2542,2432,6001,1511,1557,1722,1917,1938,2140,2410,,
Total Assets,7731,7445,6992,2544,2582,2730,3075,3313,3731,4202,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,686,914,974,212,214,159,252,444,422,655,,
Cash from Investing Activity,-29,-35,-3,2942,-34,57,-155,-285,-219,-353,,
Cash from Financing Activity,-663,-872,-973,-3105,-177,-161,-101,-159,-91,-321,,
Net Cash Flow,-5,7,-2,50,2,55,-4,0,111,-19,,
Free Cash Flow,640,873,981,207,178,165,90,168,191,489,,
CFO/OP,177,-491,-4116,103,77,38,67,94,91,104,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,64,119,48,51,57,56,56,61,55,64,,
Inventory Days,261,350,156,183,209,196,180,199,205,187,,
Days Payable,362,561,78,108,113,72,60,56,56,61,,
Cash Conversion Cycle,-37,-92,126,126,153,180,175,204,205,190,,
Working Capital Days,-138,-288,-106,56,78,98,98,114,107,109,,
ROCE %,3,-4,-1,7,13,18,21,22,19,19,,
