Item,Indicator,Value,Signal
,SMA (10),501.9,Sell
,EMA (10),499.15,Sell
,SMA (20),497.5,Sell
,EMA (20),499.39,Sell
,SMA (50),501.37,Sell
,EMA (50),497.1,Sell
,SMA (100),490.18,Buy
,EMA (100),485.73,Buy
,SMA (200),457.7,Buy
,EMA (200),459.42,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),46.42,Neutral
,"MACD (12,26,9)",-0.17,Sell
,"Stochastic (14,3,3)",34.42,Neutral
,ADX (14),12.48,Neutral
,Williams %R (14),-70.52,Neutral
,ATR (14),13.36,Neutral
,ROC (12),-0.33,Sell
,Stoch RSI (14),18.43,Buy
,"UO (7,14,28)",44.03,Neutral
