Item,Indicator,Value,Signal
,SMA (10),891.08,Buy
,EMA (10),898.53,Buy
,SMA (20),892.33,Buy
,EMA (20),897.29,Buy
,SMA (50),915.74,Sell
,EMA (50),910.16,Sell
,SMA (100),933.47,Sell
,EMA (100),936.89,Sell
,SMA (200),991.07,Sell
,EMA (200),987.68,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),55.04,Neutral
,"MACD (12,26,9)",-1.71,Buy
,"Stochastic (14,3,3)",87.68,Sell
,ADX (14),15.69,Neutral
,Williams %R (14),-22.81,Neutral
,ATR (14),15.75,Neutral
,ROC (12),1.43,Buy
,Stoch RSI (14),76.84,Neutral
,"UO (7,14,28)",63.86,Neutral
