Item,Indicator,Value,Signal
,SMA (10),271.08,Sell
,EMA (10),270.75,Sell
,SMA (20),273.08,Sell
,EMA (20),272.12,Sell
,SMA (50),270.45,Sell
,EMA (50),275.06,Sell
,SMA (100),288.46,Sell
,EMA (100),275.49,Sell
,SMA (200),266.12,Sell
,EMA (200),260.48,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.77,Neutral
,"MACD (12,26,9)",-1.31,Sell
,"Stochastic (14,3,3)",17.44,Buy
,ADX (14),16.03,Neutral
,Williams %R (14),-79.13,Neutral
,ATR (14),7.81,Neutral
,ROC (12),-7.96,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",45.91,Neutral
