Item,Date,Document
,"8 May - Schedule of Earnings Conference Call on results for the quarter and year ended March 31, 2026","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 8 May - Schedule of Earnings Conference Call on results for the quarter and year ended March 31, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/407fa4d3-aa7e-47d0-ba89-4cb8cf7ca267.pdf)"
,"8 May - Board to meet on May 14, 2026, to approve audited FY26 standalone and consolidated results.","[Board Meeting Intimation for Board Meeting Intimation For Approval Of Financial Results For The Quarter And Year Ended March 31, 2026 8 May - Board to meet on May 14, 2026, to approve audited FY26 standalone and consolidated results.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e1ba5afc-2a70-49e5-bc82-86673b78b8b6.pdf)"
,"7 Apr - Submitted Regulation 74(5) certificate for quarter ended March 31, 2026; no demat/remat requests received.","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 7 Apr - Submitted Regulation 74(5) certificate for quarter ended March 31, 2026; no demat/remat requests received.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/12ecab76-e2c7-4856-890b-7820109db235.pdf)"
,"6h - Airplaza Retail Holdings received Rs 4 lakh food safety penalty on April 20, 2026.","[Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015 6h - Airplaza Retail Holdings received Rs 4 lakh food safety penalty on April 20, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/83dcbb00-6740-4622-855c-c8e6ddc7a8b0.pdf)"
,6 May - Rampur ADM imposed Rs. 2 lakh penalty on subsidiary for food safety violation.,"[Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015 6 May - Rampur ADM imposed Rs. 2 lakh penalty on subsidiary for food safety violation.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d2b031b7-0b5f-4ad7-9aa4-ff156bb291a3.pdf)"
,"6 Mar - Of exercise of 1,15,000 Stock options and consequent allotment of 1,15,000 Equity Shares under Vishal Mega Mart Employees Stock Options Plan 2019","[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS 6 Mar - Of exercise of 1,15,000 Stock options and consequent allotment of 1,15,000 Equity Shares under Vishal Mega Mart Employees Stock Options Plan 2019](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a15193f2-74aa-428f-9b4b-873a576a5fd5.pdf)"
,"4 Mar - HDFC Mutual Fund stake rose from 5.94% to 8.81% (2.90%) in Vishal Mega Mart on Feb 27, 2026.","[Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011 4 Mar - HDFC Mutual Fund stake rose from 5.94% to 8.81% (2.90%) in Vishal Mega Mart on Feb 27, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/CCC35A4D_78BD_41F8_B958_7D0C40881DC1_125400.pdf)"
,"31 Mar - Subsidiary received income-tax order (30 Mar 2026) demanding Rs.3,28,86,743 (Tax Rs.1.86Cr; Interest Rs.1.42Cr).","[Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015 31 Mar - Subsidiary received income-tax order (30 Mar 2026) demanding Rs.3,28,86,743 (Tax Rs.1.86Cr; Interest Rs.1.42Cr).](https://www.bseindia.com/xml-data/corpfiling/AttachHis/bab0dca5-4371-42bb-b76e-a4d5586fe64b.pdf)"
,"3 Mar - Grant of 500,000 stock options at Rs.117 each on March 2, 2026 under Vishal Mega Mart ESOP 2019.","[Intimation Of Grant Of 5,00,000 Stock Options Under Vishal Mega Mart Employees Stock Options Plan 2019 3 Mar - Grant of 500,000 stock options at Rs.117 each on March 2, 2026 under Vishal Mega Mart ESOP 2019.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7020fcef-b26a-43c1-bd83-34ecec5b3e5d.pdf)"
,"3 Mar - Appointed Vineet Saksena as Senior Vice President - FMCG effective March 03, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 3 Mar - Appointed Vineet Saksena as Senior Vice President - FMCG effective March 03, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/db0fc535-2a61-4729-b06e-49022215f5ad.pdf)"
,Date,Document
,---,---
,2026-09-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ed305486-bff3-4ac3-8344-9f61a1aedfb6.pdf)
,2026-09-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=49cb57de-2296-4a83-b247-aa625e9f56f3.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9bec2770-92d1-4899-ae2a-ec62a5e962a8.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2a4b3ead-1eb7-42c7-9a79-49523c44d19d.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6602fa88-392f-460e-a379-177e3dc385ff.pdf)
,2026-09-01,[Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0714a903-a8a0-4b5b-a579-a62664d78516.pdf)
,2026-08-25,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a44d31f5-5a4a-41dc-81ad-549b2fb9c250.pdf)
,2026-08-24,[Notice Of 8Th Annual General Meeting To Be Held On Friday September 18 2026 And Annual Report Of The Company For The Financial Year 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=887eb304-df46-4dde-9c35-a1f0d08568bb.pdf)
,2026-08-24,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=db915033-63ec-405b-aab3-5b72ad2edd4a.pdf)
,2026-08-24,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=75bff672-dd29-42a2-8c21-bcee2968afa5.pdf)
,Date,Document
,---,---
,2026-07-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9b456efc-aa0c-4ffb-980b-2fce2244a12d.pdf)
,2026-05-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ccb2745c-b338-4c0c-a062-c20f9b8f80f8.pdf)
,2026-01-30,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40b6be0c-59be-456b-867a-4974f6e06301.pdf)
