Item,Indicator,Value,Signal
,SMA (10),1167.88,Sell
,EMA (10),1171.71,Sell
,SMA (20),1199.79,Sell
,EMA (20),1198.23,Sell
,SMA (50),1268.18,Sell
,EMA (50),1246.39,Sell
,SMA (100),1295.93,Sell
,EMA (100),1285.17,Sell
,SMA (200),1347.81,Sell
,EMA (200),1317.24,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),37.21,Neutral
,"MACD (12,26,9)",-34.27,Sell
,"Stochastic (14,3,3)",20.2,Neutral
,ADX (14),28.09,Buy
,Williams %R (14),-70.42,Neutral
,ATR (14),28.56,Neutral
,ROC (12),-4.27,Sell
,Stoch RSI (14),73.17,Neutral
,"UO (7,14,28)",52.16,Neutral
