Item,Indicator,Value,Signal
,SMA (10),584.8,Sell
,EMA (10),583.52,Sell
,SMA (20),592.15,Sell
,EMA (20),589.95,Sell
,SMA (50),607.65,Sell
,EMA (50),600.23,Sell
,SMA (100),612.69,Sell
,EMA (100),593.13,Sell
,SMA (200),547.5,Buy
,EMA (200),561.57,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),36.65,Neutral
,"MACD (12,26,9)",-7.96,Sell
,"Stochastic (14,3,3)",15.11,Buy
,ADX (14),11.5,Neutral
,Williams %R (14),-89.39,Buy
,ATR (14),17.33,High Volatility
,ROC (12),-6.09,Sell
,Stoch RSI (14),20.78,Neutral
,"UO (7,14,28)",38.16,Neutral
