Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2509,2411,2575,2536,2873,2490,2646,2261,2441,2262,2435,2795
Expenses,2151,2072,2217,2195,2515,2209,2330,2035,2288,2102,2186,2474
Operating Profit,358,339,359,342,358,280,316,225,153,160,249,321
OPM %,14,14,14,13,12,11,12,10,6,7,10,11
Other Income,33,43,42,52,63,38,2,29,15,-5,16,34
Interest,34,42,52,43,55,62,57,42,43,39,37,34
Depreciation,98,100,96,97,86,98,93,88,101,102,103,100
Profit before tax,259,240,252,253,280,158,168,124,24,14,125,220
Tax %,23,25,48,27,28,22,21,28,38,82,15,26
Net Profit,200,179,131,186,202,123,133,89,15,3,106,163
EPS in Rs,2.02,1.82,1.5,1.91,2.1,1.26,1.37,0.91,0.14,0,1.08,1.7
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6050,6527,6741,7340,9311,8094,9679,10545,9399,9934,,
Expenses,4926,5458,5526,5988,7950,7341,8310,9246,8605,9050,,
Operating Profit,1124,1068,1215,1352,1362,753,1369,1299,794,884,,
OPM %,19,16,18,18,15,9,14,12,8,9,,
Other Income,81,-187,139,68,63,121,146,152,49,60,,
Interest,141,159,178,198,131,130,153,217,161,153,,
Depreciation,504,436,481,454,420,442,394,373,394,407,,
Profit before tax,560,287,694,769,873,302,967,860,287,384,,
Tax %,29,21,24,28,30,33,30,25,26,—,,
Net Profit,398,226,524,551,607,203,673,644,213,286,,
EPS in Rs,3.83,2.09,5.05,5.37,5.98,1.98,7.01,6.66,2.13,2.92,,
Dividend Payout %,17,14,20,3,2,5,1,3,5,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,100,100,100,100,100,99,99,97,96,96,,
Reserves,2297,2505,2679,2872,3544,3873,3989,4419,4725,4821,,
Borrowings,3311,3281,3310,3521,2940,3304,2462,2632,2762,2315,,
Other Liabilities,1550,1301,1593,1701,1981,2036,1978,2337,2684,3160,,
Total Liabilities,7258,7187,7682,8194,8566,9312,8527,9485,10267,10392,,
Fixed Assets,3689,3460,3306,3933,3814,4005,3918,3813,4022,4460,,
CWIP,56,83,489,58,173,166,46,49,380,269,,
Investments,126,128,127,244,111,698,642,916,570,892,,
Other Assets,3387,3516,3761,3959,4467,4443,3922,4707,5295,4771,,
Total Assets,7258,7187,7682,8194,8566,9312,8527,9485,10267,10392,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,832,545,807,777,954,587,756,533,688,1175,,
Cash from Investing Activity,-715,-300,-540,-458,-97,-600,244,-210,58,-345,,
Cash from Financing Activity,-99,-250,-232,-269,-762,-55,-1086,-269,-663,-975,,
Net Cash Flow,18,-5,35,51,94,-68,-86,55,83,-146,,
Free Cash Flow,135,214,74,287,533,81,511,274,-7,726,,
CFO/OP,59,60,87,77,78,55,112,47,66,160,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,53,56,60,59,59,39,43,47,57,51,,
Inventory Days,168,172,158,184,180,151,168,158,150,168,,
Days Payable,98,85,83,108,111,71,74,69,77,107,,
Cash Conversion Cycle,122,143,135,135,128,119,137,136,130,113,,
Working Capital Days,39,47,26,8,29,14,42,40,47,34,,
ROCE %,21,12,11,13,15,14,6,16,14,6,,
