Item,Date,Document
,2026-08-31,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=92721272-9271-4c93-acb7-52539cd9e0fb.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06d0e756-8ed9-49a7-96f9-4798d04916d4.pdf)
,2026-08-14,[Update On Merge Of US Subsidiary](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73eec575-4a0e-47b8-9281-2d05d91a63e1.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13fdd1a9-2928-4021-80bf-722646fe2e0a.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e2ace86-4d00-42d4-a1ba-166315e92f0c.pdf)
,2026-08-08,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0374c198-b902-4801-9a2e-e65e63601f32.pdf)
,2026-08-08,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2e3e66a1-a53e-47b6-9af2-7d2f9c375ac2.pdf)
,2026-07-31,[Update On Merge Of US Subsidiary](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=47401309-2e87-4615-add6-d0fae735d440.pdf)
,2026-07-31,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e4e67525-64ce-49f1-823a-700f13a564c9.pdf)
,2026-07-31,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fac2fc94-e787-4f7f-88e5-e59fcda64839.pdf)
,Date,Document
,---,---
,2026-08-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ffc25cb9-3b1c-47e4-85b7-0cdfb6b7dcdb.pdf)
,2026-05-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24241cdd-62a6-4901-88ef-68e2fd98ba2a.pdf)
,2026-02-01,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bec40aa6-238e-472d-b78e-a739d7091774.pdf)
,2025-11-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fb208888-6a67-4895-b645-b2b87bf73ccf.pdf)
,2025-07-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c7e5304f-d02b-4cb5-88e6-53aedb0209f2.pdf)
,2025-05-02,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0daa2b05-0953-4483-b4e9-6bf648240f5c.pdf)
,2025-01-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00024614-e83a-4547-bb4e-768411286266.pdf)
,2024-10-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1ed8f0b-21be-4b11-87ac-2e7a2aacf328.pdf)
