Item,Indicator,Value,Signal
,SMA (10),1141.3,Sell
,EMA (10),1135.53,Sell
,SMA (20),1137.54,Sell
,EMA (20),1138.15,Sell
,SMA (50),1137.07,Sell
,EMA (50),1125.4,Sell
,SMA (100),1084.94,Buy
,EMA (100),1087.2,Buy
,SMA (200),996.24,Buy
,EMA (200),1035.31,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),45.64,Neutral
,"MACD (12,26,9)",-0.52,Sell
,"Stochastic (14,3,3)",27.12,Neutral
,ADX (14),14.43,Neutral
,Williams %R (14),-75.07,Neutral
,ATR (14),30.7,Neutral
,ROC (12),-2.69,Sell
,Stoch RSI (14),1.82,Buy
,"UO (7,14,28)",44.38,Neutral
